Label,NodeID,knowledge,experiance,periode
1,s4_f3,0.999082,0.90132,4
1,s4_h3,0.997935,0.900398,4
1,s4_h4,0.993577,0.896893,4
1,s1_f4,1,0.902058,4
1,s1_h5,0.995014,0.899137,4
1,s2_f4,1,0.902058,4
1,s2_h5,0.99948,0.775202,4
0.4,s3_f4,0.421802,0.772281,4
0.6,s3_h5,0.701432,0.901351,4
1,s4_f4,1,0.902058,4
1,s4_h5,0.99948,0.900552,4
1,s1_f5,0.998624,0.591933,4
1,s2_f5,0.998624,0.901143,4
1,s3_f5,0.998624,0.901143,4
1,s4_f5,0.998624,0.900759,4
1,s1_f1,1,0.943,5
1,s1_f2,1,0.280406,5
1,s1_h1,0.999082,0.870073,5
1,s1_h2,0.999082,0.699052,5
1,s2_f1,1,0.870439,5
1,s2_f2,1,0.943119,5
1,s2_h1,0.992659,0.936732,5
1,s2_h2,0.998165,0.941045,5
1,s3_f1,0.997247,0.94056,5
1,s3_f2,1,0.943119,5
1,s3_h1,0.998165,0.941611,5
1,s3_h2,0.993577,0.937873,5
1,s4_f1,1,0.943,5
1,s4_f2,0.997247,0.940679,5
1,s4_h1,0.999082,0.942186,5
1,s4_h2,0.999082,0.942306,5
1,s1_f3,0.999082,0.762727,5
1,s1_h3,0.998165,0.870068,5
1,s1_h4,0.999082,0.942306,5
1,s2_f3,0.993577,0.937873,5
1,s2_h3,0.995412,0.940069,5
1,s2_h4,0.999082,0.942306,5
1,s3_f3,0.998165,0.941045,5
1,s3_h3,0.999082,0.941289,5
1,s3_h4,0.998165,0.941492,5
1,s4_f3,0.999082,0.942306,5
1,s4_h3,0.999082,0.941289,5
1,s4_h4,0.993577,0.937426,5
1,s1_f4,1,0.943119,5
1,s1_h5,0.996559,0.939332,5
1,s2_f4,1,0.943119,5
1,s2_h5,0.997935,0.869227,5
1,s3_f4,0.994494,0.625348,5
1,s3_h5,0.999312,0.817538,5
1,s4_f4,1,0.943119,5
1,s4_h5,0.997935,0.942026,5
1,s1_f5,0.998624,0.762432,5
1,s2_f5,0.998624,0.942011,5
1,s3_f5,0.998624,0.942011,5
1,s4_f5,0.998624,0.941787,5
1,s1_f1,1,0.966896,6
1,s1_f2,1,0.582085,6
1,s1_h1,0.999082,0.924158,6
1,s1_h2,0.999082,0.824835,6
1,s2_f1,1,0.924756,6
1,s2_f2,1,0.966965,6
1,s2_h1,0.992659,0.960179,6
1,s2_h2,0.998165,0.964992,6
1,s3_f1,0.997247,0.964325,6
1,s3_f2,1,0.966965,6
1,s3_h1,0.998165,0.965321,6
1,s3_h2,0.993577,0.961226,6
1,s4_f1,1,0.966896,6
1,s4_f2,0.997247,0.964394,6
1,s4_h1,0.999082,0.966039,6
1,s4_h2,0.999082,0.966108,6
1,s1_f3,0.999082,0.861816,6
1,s1_h3,0.998165,0.923771,6
1,s1_h4,0.999082,0.966108,6
1,s2_f3,0.993577,0.961226,6
0.2,s2_h3,0.261524,0.963271,6
1,s2_h4,0.999082,0.966108,6
1,s3_f3,0.998165,0.964992,6
1,s3_h3,0.999082,0.965518,6
1,s3_h4,0.998165,0.965251,6
1,s4_f3,0.999082,0.966108,6
1,s4_h3,0.999082,0.965518,6
1,s4_h4,0.993577,0.960967,6
1,s1_f4,1,0.966965,6
1,s1_h5,0.996559,0.963324,6
1,s2_f4,1,0.966965,6
1,s2_h5,0.997935,0.923186,6
1,s3_f4,0.994494,0.780107,6
1,s3_h5,0.999312,0.893744,6
1,s4_f4,1,0.966965,6
1,s4_h5,0.997935,0.965465,6
1,s1_f5,0.998624,0.861452,6
1,s2_f5,0.998624,0.965745,6
1,s3_f5,0.998624,0.965745,6
1,s4_f5,0.998624,0.965615,6
1,s1_f1,1,0.980774,7
1,s1_f2,1,0.75729,7
1,s1_h1,0.999082,0.955569,7
0,s1_h2,0.261524,0.897886,7
1,s2_f1,1,0.956301,7
1,s2_f2,1,0.980815,7
1,s2_h1,0.992659,0.973796,7
1,s2_h2,0.99633,0.978899,7
1,s3_f1,0.997247,0.978127,7
1,s3_f2,1,0.980815,7
1,s3_h1,0.998165,0.97909,7
1,s3_h2,0.995412,0.974789,7
1,s4_f1,1,0.980774,7
1,s4_f2,0.997247,0.978168,7
1,s4_h1,0.999082,0.979892,7
1,s4_h2,0.999082,0.979932,7
1,s1_f3,0.999358,0.919363,7
1,s1_h3,0.999312,0.954959,7
1,s1_h4,0.999082,0.979932,7
1,s2_f3,0.995504,0.974789,7
1,s2_h3,0.996559,0.669074,7
1,s2_h4,0.999082,0.979932,7
1,s3_f3,0.998715,0.978899,7
1,s3_h3,0.997935,0.979589,7
1,s3_h4,0.998165,0.97905,7
1,s4_f3,0.999358,0.979932,7
1,s4_h3,0.997935,0.979589,7
1,s4_h4,0.993577,0.974638,7
1,s1_f4,1,0.980815,7
1,s1_h5,0.996559,0.977257,7
1,s2_f4,1,0.980815,7
1,s2_h5,0.997935,0.954524,7
1,s3_f4,0.994494,0.869986,7
1,s3_h5,0.999312,0.938002,7
1,s4_f4,1,0.980815,7
1,s4_h5,0.997935,0.979078,7
1,s1_f5,0.998624,0.918959,7
1,s2_f5,0.998624,0.979529,7
1,s3_f5,0.998624,0.979529,7
1,s4_f5,0.998624,0.979453,7
1,s1_f1,1,0.988835,8
0.6,s1_f2,0.70186,0.859043,8
1,s1_h1,0.999082,0.973811,8
1,s1_h2,0.999082,0.6311,8
1,s2_f1,1,0.974621,8
1,s2_f2,0.999694,0.988858,8
1,s2_h1,0.992659,0.981704,8
1,s2_h2,0.998165,0.986207,8
1,s3_f1,0.997247,0.986143,8
1,s3_f2,0.999694,0.988858,8
1,s3_h1,0.998165,0.987087,8
1,s3_h2,0.993577,0.983435,8
1,s4_f1,1,0.988835,8
1,s4_f2,0.997553,0.986166,8
1,s4_h1,0.999082,0.987937,8
1,s4_h2,0.999082,0.987961,8
1,s1_f3,1,0.9529,8
1,s1_h3,0.999312,0.973553,8
1,s1_h4,0.999082,0.987961,8
1,s2_f3,1,0.983473,8
1,s2_h3,0.996559,0.806367,8
1,s2_h4,0.999082,0.987961,8
1,s3_f3,1,0.987207,8
1,s3_h3,0.997935,0.987281,8
1,s3_h4,0.998165,0.987064,8
1,s4_f3,1,0.988076,8
1,s4_h3,0.997935,0.987281,8
1,s4_h4,0.993577,0.982578,8
1,s1_f4,1,0.988858,8
1,s1_h5,0.996559,0.985349,8
1,s2_f4,1,0.988858,8
1,s2_h5,0.997935,0.972724,8
1,s3_f4,0.994494,0.922184,8
1,s3_h5,0.999312,0.963705,8
1,s4_f4,1,0.988858,8
1,s4_h5,0.997935,0.986984,8
0.6,s1_f5,0.696416,0.952357,8
1,s2_f5,0.999082,0.987534,8
1,s3_f5,0.999082,0.987534,8
1,s4_f5,0.998165,0.98749,8
1,s1_f1,1,0.993515,9
1,s1_f2,1,0.793146,9
0.6,s1_h1,0.702411,0.984406,9
1,s1_h2,0.999082,0.785372,9
1,s2_f1,1,0.985261,9
1,s2_f2,1,0.993401,9
1,s2_h1,0.993087,0.986297,9
1,s2_h2,0.998165,0.99122,9
1,s3_f1,0.997247,0.990798,9
1,s3_f2,1,0.993401,9
1,s3_h1,0.998593,0.991731,9
1,s3_h2,0.993577,0.987687,9
1,s4_f1,1,0.993515,9
1,s4_f2,0.997247,0.99094,9
1,s4_h1,0.998654,0.99261,9
1,s4_h2,0.999082,0.992623,9
1,s1_f3,1,0.972646,9
1,s1_h3,0.999312,0.984352,9
1,s1_h4,0.999082,0.992623,9
1,s2_f3,1,0.990402,9
1,s2_h3,0.996559,0.886102,9
1,s2_h4,0.999082,0.992623,9
1,s3_f3,1,0.99257,9
1,s3_h3,0.997935,0.991748,9
1,s3_h4,0.998165,0.991718,9
1,s4_f3,1,0.993075,9
1,s4_h3,0.997935,0.991748,9
1,s4_h4,0.993577,0.987189,9
1,s1_f4,1,0.993529,9
1,s1_h5,0.996559,0.990049,9
1,s2_f4,1,0.993529,9
1,s2_h5,0.997935,0.983293,9
1,s3_f4,0.994494,0.952499,9
1,s3_h5,0.999312,0.978633,9
1,s4_f4,1,0.993529,9
1,s4_h5,0.997935,0.991575,9
1,s1_f5,0.998624,0.845058,9
1,s2_f5,0.998624,0.992376,9
1,s3_f5,0.998624,0.992376,9
1,s4_f5,0.998624,0.991965,9
1,s1_f1,1,0.996234,10
0,s1_f2,0.261524,0.879867,10
1,s1_h1,0.999082,0.866184,10
1,s1_h2,0.999082,0.874967,10
1,s2_f1,1,0.99144,10
1,s2_f2,0.999082,0.996167,10
1,s2_h1,0.992659,0.989144,10
1,s2_h2,0.998165,0.994131,10
1,s3_f1,0.997247,0.993502,10
1,s3_f2,0.999082,0.996167,10
1,s3_h1,0.998165,0.994608,10
1,s3_h2,0.993577,0.990156,10
1,s4_f1,1,0.996234,10
1,s4_f2,0.998165,0.993584,10
1,s4_h1,0.999082,0.995144,10
1,s4_h2,0.999082,0.995331,10
1,s1_f3,1,0.984114,10
1,s1_h3,0.999312,0.990624,10
1,s1_h4,0.999082,0.995331,10
1,s2_f3,1,0.994426,10
1,s2_h3,0.996559,0.93241,10
1,s2_h4,0.999082,0.995331,10
1,s3_f3,1,0.995685,10
1,s3_h3,0.997935,0.994342,10
1,s3_h4,0.998165,0.994421,10
1,s4_f3,1,0.995978,10
1,s4_h3,0.997935,0.994342,10
1,s4_h4,0.993577,0.989867,10
1,s1_f4,1,0.996242,10
1,s1_h5,0.996559,0.992778,10
1,s2_f4,1,0.996242,10
1,s2_h5,0.997935,0.989432,10
1,s3_f4,0.994494,0.970105,10
1,s3_h5,0.999312,0.987302,10
1,s4_f4,1,0.996242,10
1,s4_h5,0.997935,0.994242,10
0,s1_f5,0,0.909438,10
1,s2_f5,1,0.994995,10
1,s3_f5,1,0.994995,10
1,s4_f5,0.997247,0.994757,10
1,s1_f1,1,0.997813,11
1,s1_f2,1,0.620635,11
1,s1_h1,0.99633,0.921899,11
1,s1_h2,0.999082,0.927001,11
1,s2_f1,1,0.995029,11
1,s2_f2,1,0.997389,11
1,s2_h1,0.995412,0.990618,11
1,s2_h2,0.998165,0.995822,11
1,s3_f1,0.997247,0.995072,11
1,s3_f2,1,0.997389,11
1,s3_h1,0.999082,0.996099,11
1,s3_h2,0.993577,0.99159,11
1,s4_f1,1,0.997813,11
1,s4_f2,0.997247,0.995505,11
0.6,s4_h1,0.509777,0.996795,11
1,s4_h2,0.999082,0.996904,11
1,s1_f3,1,0.990774,11
1,s1_h3,0.99961,0.994266,11
1,s1_h4,0.999082,0.996904,11
1,s2_f3,1,0.996763,11
1,s2_h3,0.996857,0.959303,11
1,s2_h4,0.999082,0.996904,11
1,s3_f3,1,0.997494,11
1,s3_h3,0.997637,0.995848,11
1,s3_h4,0.998165,0.99599,11
1,s4_f3,1,0.997664,11
0.6,s4_h3,0.701302,0.995848,11
1,s4_h4,0.993577,0.991422,11
0,s1_f4,0,0.997817,11
1,s1_h5,0.996559,0.994363,11
1,s2_f4,1,0.997817,11
1,s2_h5,0.997935,0.992997,11
1,s3_f4,0.994494,0.98033,11
1,s3_h5,0.999312,0.992337,11
1,s4_f4,1,0.997817,11
1,s4_h5,0.997935,0.99579,11
1,s1_f5,0.998624,0.528169,11
1,s2_f5,0.998624,0.997093,11
1,s3_f5,0.998624,0.997093,11
1,s4_f5,0.998624,0.995801,11
1,s1_f1,1,0.99873,12
1,s1_f2,1,0.779679,12
1,s1_h1,0.999082,0.953103,12
1,s1_h2,0.999082,0.95722,12
1,s2_f1,1,0.997113,12
1,s2_f2,1,0.998484,12
1,s2_h1,0.992659,0.992628,12
1,s2_h2,0.998165,0.996804,12
1,s3_f1,0.998624,0.995984,12
1,s3_f2,1,0.998484,12
1,s3_h1,0.998165,0.99735,12
1,s3_h2,0.993577,0.992423,12
1,s4_f1,1,0.99873,12
1,s4_f2,0.997247,0.996235,12
1,s4_h1,0.999082,0.79262,12
1,s4_h2,0.999082,0.997817,12
1,s1_f3,1,0.994642,12
1,s1_h3,0.999312,0.996506,12
1,s1_h4,0.999082,0.997817,12
1,s2_f3,1,0.99812,12
1,s2_h3,0.996559,0.975047,12
1,s2_h4,0.999082,0.997817,12
1,s3_f3,1,0.998545,12
1,s3_h3,0.997935,0.996598,12
1,s3_h4,0.998165,0.996902,12
1,s4_f3,1,0.998644,12
1,s4_h3,0.997935,0.872364,12
1,s4_h4,0.993577,0.992326,12
1,s1_f4,1,0.579497,12
1,s1_h5,0.996559,0.995284,12
1,s2_f4,1,0.998732,12
1,s2_h5,0.997935,0.995067,12
1,s3_f4,0.994494,0.986268,12
1,s3_h5,0.999312,0.995261,12
1,s4_f4,1,0.998732,12
1,s4_h5,0.997935,0.99669,12
1,s1_f5,0.998624,0.7254,12
1,s2_f5,0.998624,0.997735,12
1,s3_f5,0.998624,0.997735,12
1,s4_f5,0.998624,0.996984,12
1,s1_f1,1,0.999262,13
0,s1_f2,0.261524,0.872045,13
0,s1_h1,0,0.972379,13
1,s1_h2,0.999082,0.97477,13
1,s2_f1,1,0.998323,13
1,s2_f2,0.999082,0.99912,13
1,s2_h1,0.995412,0.992641,13
1,s2_h2,0.998165,0.997375,13
1,s3_f1,1,0.997091,13
1,s3_f2,0.999082,0.99912,13
1,s3_h1,0.999082,0.997691,13
1,s3_h2,0.993577,0.992907,13
1,s4_f1,1,0.999262,13
1,s4_f2,0.998165,0.996659,13
1,s4_h1,0.99633,0.879176,13
1,s4_h2,0.999082,0.998348,13
1,s1_f3,1,0.996888,13
1,s1_h3,0.999312,0.997683,13
1,s1_h4,0.999082,0.998348,13
1,s2_f3,1,0.998908,13
1,s2_h3,0.996559,0.984066,13
1,s2_h4,0.999082,0.998348,13
1,s3_f3,1,0.999155,13
1,s3_h3,0.997935,0.997159,13
1,s3_h4,0.998165,0.997431,13
1,s4_f3,1,0.999212,13
1,s4_h3,0.997935,0.925008,13
1,s4_h4,0.993577,0.99285,13
1,s1_f4,1,0.755787,13
1,s1_h5,0.996559,0.995818,13
1,s2_f4,1,0.999264,13
1,s2_h5,0.997935,0.99627,13
1,s3_f4,0.997247,0.989717,13
1,s3_h5,0.999312,0.996959,13
1,s4_f4,1,0.999264,13
1,s4_h5,0.997935,0.997212,13
1,s1_f5,0.998624,0.839945,13
1,s2_f5,0.998624,0.998107,13
1,s3_f5,0.998624,0.998107,13
1,s4_f5,0.998624,0.997672,13
1,s1_f1,1,0.999572,14
1,s1_f2,1,0.616093,14
1,s1_h1,0.999082,0.564723,14
1,s1_h2,0.999082,0.984963,14
1,s2_f1,1,0.999026,14
1,s2_f2,1,0.999104,14
1,s2_h1,0.992659,0.993803,14
1,s2_h2,0.998165,0.997706,14
1,s3_f1,1,0.99831,14
1,s3_f2,1,0.999104,14
1,s3_h1,0.998165,0.998275,14
1,s3_h2,0.993577,0.993188,14
1,s4_f1,1,0.999572,14
1,s4_f2,0.998348,0.997291,14
1,s4_h1,0.999082,0.928291,14
1,s4_h2,0.999082,0.998656,14
1,s1_f3,1,0.998193,14
1,s1_h3,0.999312,0.998366,14
1,s1_h4,0.999082,0.998656,14
1,s2_f3,1,0.999366,14
1,s2_h3,0.996559,0.989303,14
1,s2_h4,0.999082,0.998656,14
1,s3_f3,1,0.999509,14
1,s3_h3,0.997935,0.997484,14
1,s3_h4,0.998165,0.997739,14
1,s4_f3,1,0.999542,14
1,s4_h3,0.997935,0.955582,14
1,s4_h4,0.993577,0.993155,14
1,s1_f4,1,0.85817,14
1,s1_h5,0.996559,0.996129,14
1,s2_f4,1,0.999572,14
1,s2_h5,0.997935,0.996968,14
1,s3_f4,1,0.992874,14
1,s3_h5,0.999312,0.997946,14
1,s4_f4,1,0.999572,14
1,s4_h5,0.997935,0.997515,14
1,s1_f5,0.998624,0.906469,14
1,s2_f5,0.998624,0.998324,14
1,s3_f5,0.998624,0.998324,14
1,s4_f5,0.998624,0.998071,14
1,s1_f1,1,0.999751,15
1,s1_f2,1,0.777041,15
0.6,s1_h1,0.702166,0.746822,15
1,s1_h2,0.999082,0.990882,15
1,s2_f1,1,0.999434,15
1,s2_f2,1,0.99948,15
1,s2_h1,0.992965,0.993323,15
1,s2_h2,0.998165,0.997898,15
1,s3_f1,1,0.999019,15
1,s3_f2,1,0.99948,15
1,s3_h1,0.998471,0.998229,15
1,s3_h2,0.993577,0.993351,15
1,s4_f1,1,0.999751,15
1,s4_f2,1,0.997734,15
1,s4_h1,0.998777,0.957969,15
1,s4_h2,0.999082,0.998835,15
1,s1_f3,1,0.99895,15
1,s1_h3,0.999312,0.998762,15
1,s1_h4,0.999082,0.998835,15
1,s2_f3,1,0.999632,15
1,s2_h3,0.996559,0.992345,15
1,s2_h4,0.999082,0.998835,15
1,s3_f3,1,0.999715,15
1,s3_h3,0.997935,0.997673,15
1,s3_h4,0.998165,0.997917,15
1,s4_f3,1,0.999734,15
1,s4_h3,0.997935,0.973338,15
1,s4_h4,0.993577,0.993332,15
1,s1_f4,1,0.91763,15
1,s1_h5,0.996559,0.996309,15
1,s2_f4,1,0.999752,15
1,s2_h5,0.997935,0.997374,15
1,s3_f4,1,0.995861,15
1,s3_h5,0.999312,0.998518,15
0,s4_f4,0.261524,0.999752,15
1,s4_h5,0.997935,0.997691,15
1,s1_f5,0.998624,0.945103,15
1,s2_f5,0.998624,0.99845,15
1,s3_f5,0.998624,0.99845,15
1,s4_f5,0.998624,0.998302,15
1,s1_f1,1,0.999855,16
1,s1_f2,1,0.870513,16
1,s1_h1,0.999082,0.728101,16
0.2,s1_h2,0.483923,0.99432,16
1,s2_f1,1,0.999672,16
1,s2_f2,1,0.999698,16
1,s2_h1,0.992659,0.993173,16
1,s2_h2,0.998899,0.99801,16
1,s3_f1,1,0.99943,16
1,s3_f2,1,0.999698,16
1,s3_h1,0.998165,0.99833,16
1,s3_h2,0.992843,0.993446,16
1,s4_f1,1,0.999855,16
1,s4_f2,1,0.998684,16
1,s4_h1,0.999082,0.975077,16
1,s4_h2,0.998348,0.998938,16
1,s1_f3,1,0.99939,16
0,s1_h3,0.261524,0.998993,16
1,s1_h4,0.999082,0.998938,16
1,s2_f3,1,0.999786,16
1,s2_h3,0.99633,0.994112,16
1,s2_h4,0.999082,0.998938,16
1,s3_f3,1,0.999834,16
1,s3_h3,0.998165,0.997783,16
1,s3_h4,0.998165,0.998021,16
1,s4_f3,1,0.999846,16
1,s4_h3,0.998165,0.98365,16
1,s4_h4,0.993577,0.993435,16
1,s1_f4,1,0.952162,16
1,s1_h5,0.996559,0.996414,16
1,s2_f4,1,0.999856,16
1,s2_h5,0.997935,0.997609,16
1,s3_f4,1,0.997596,16
1,s3_h5,0.999312,0.998851,16
1,s4_f4,1,0.69026,16
1,s4_h5,0.997935,0.997794,16
1,s1_f5,0.998624,0.967541,16
1,s2_f5,0.998624,0.998523,16
1,s3_f5,0.998624,0.998523,16
1,s4_f5,0.998624,0.998437,16
0.6,s1_f1,0.701004,0.999916,17
0,s1_f2,0,0.924799,17
1,s1_h1,0.999082,0.841706,17
1,s1_h2,0.999082,0.780343,17
1,s2_f1,1,0.999809,17
1,s2_f2,1,0.999824,17
1,s2_h1,0.992659,0.992958,17
1,s2_h2,0.998165,0.998383,17
1,s3_f1,1,0.999669,17
1,s3_f2,1,0.999824,17
1,s3_h1,0.998165,0.998261,17
1,s3_h2,0.993577,0.993193,17
1,s4_f1,1,0.999916,17
1,s4_f2,1,0.999236,17
1,s4_h1,0.999082,0.985141,17
1,s4_h2,0.999082,0.998691,17
1,s1_f3,1,0.999646,17
1,s1_h3,0.999312,0.68982,17
1,s1_h4,0.999082,0.998999,17
1,s2_f3,1,0.999876,17
1,s2_h3,0.996559,0.995042,17
1,s2_h4,0.999082,0.998999,17
1,s3_f3,1,0.999904,17
1,s3_h3,0.997935,0.997943,17
1,s3_h4,0.998165,0.998081,17
1,s4_f3,1,0.99991,17
1,s4_h3,0.997935,0.989735,17
1,s4_h4,0.993577,0.993494,17
1,s1_f4,1,0.972218,17
1,s1_h5,0.996559,0.996475,17
1,s2_f4,1,0.999916,17
1,s2_h5,0.997935,0.997746,17
1,s3_f4,1,0.998604,17
1,s3_h5,0.999312,0.999044,17
1,s4_f4,1,0.820114,17
1,s4_h5,0.997935,0.997853,17
1,s1_f5,0.998624,0.980572,17
1,s2_f5,0.998624,0.998565,17
1,s3_f5,0.998624,0.998565,17
1,s4_f5,0.998624,0.998515,17
1,s1_f1,1,0.874601,18
0,s1_f2,0,0.53709,18
1,s1_h1,0.999082,0.907684,18
1,s1_h2,0.999082,0.872047,18
1,s2_f1,1,0.999889,18
1,s2_f2,1,0.999898,18
1,s2_h1,0.992659,0.992833,18
1,s2_h2,0.998165,0.998291,18
1,s3_f1,1,0.999808,18
1,s3_f2,1,0.999898,18
1,s3_h1,0.998165,0.998221,18
1,s3_h2,0.993577,0.993354,18
1,s4_f1,1,0.999951,18
