Label,NodeID,network_behaviour,data_collection_behaviour,Reward_punishment,periode
0,s1_f1,0.4,0,0.0898658,1
0.2,s1_f2,1,0,0.303265,1
0.4,s1_h1,0.8,0.144167,0.303265,1
0,s1_h2,0,0,0,1
1,s2_f1,1,0.993333,1,1
1,s2_f2,1,0.993333,1,1
1,s2_h1,1,0.966667,1,1
1,s2_h2,1,0.973333,1,1
1,s3_f1,1,0.986667,1,1
1,s3_f2,1,0.993333,1,1
1,s3_h1,1,0.993333,1,1
1,s3_h2,1,0.966667,1,1
1,s4_f1,1,0.993333,1,1
1,s4_f2,1,0.986667,1,1
1,s4_h1,1,0.973333,1,1
1,s4_h2,1,0.993333,1,1
0,s1_f3,1,0,0.303265,1
0.2,s1_h3,1,0,0.303265,1
1,s1_h4,1,0.993333,1,1
1,s2_f3,1,0.966667,1,1
1,s2_h3,1,0.973333,1,1
1,s2_h4,1,0.993333,1,1
1,s3_f3,1,0.973333,1,1
1,s3_h3,1,0.986667,1,1
1,s3_h4,1,0.986667,1,1
1,s4_f3,1,0.993333,1,1
1,s4_h3,1,0.986667,1,1
1,s4_h4,1,0.953333,1,1
0.2,s1_f4,1,0,0.303265,1
1,s1_h5,1,0.98,1,1
1,s2_f4,1,0.986667,1,1
0.4,s2_h5,0.8,0.2275,0.303265,1
1,s3_f4,1,0.973333,1,1
1,s3_h5,1,1,1,1
1,s4_f4,1,0.986667,1,1
1,s4_h5,1,0.98,1,1
0,s1_f5,1,0,0.303265,1
1,s2_f5,1,0.993333,1,1
1,s3_f5,1,0.993333,1,1
1,s4_f5,1,0.986667,1,1
1,s1_f1,1,1,1,2
0,s1_f2,1,0,0.303265,2
0,s1_h1,1,0,0.303265,2
0,s1_h2,0,0,0,2
1,s2_f1,1,1,1,2
1,s2_f2,1,0.993333,1,2
1,s2_h1,1,0.99,1,2
1,s2_h2,1,0.973333,1,2
0,s3_f1,0,0,0,2
1,s3_f2,1,0.993333,1,2
1,s3_h1,1,0.998,1,2
1,s3_h2,1,0.966667,1,2
1,s4_f1,1,1,1,2
1,s4_f2,1,0.986667,1,2
1,s4_h1,1,0.992,1,2
1,s4_h2,1,0.993333,1,2
0,s1_f3,1,0,0.303265,2
0.6,s1_h3,1,0.371333,0.518573,2
1,s1_h4,1,1,1,2
1,s2_f3,1,0.966667,1,2
1,s2_h3,1,0.973333,1,2
1,s2_h4,1,1,1,2
1,s3_f3,1,0.973333,1,2
1,s3_h3,1,0.986667,1,2
1,s3_h4,1,0.98,1,2
1,s4_f3,1,0.993333,1,2
1,s4_h3,1,0.986667,1,2
0,s4_h4,0,0,0,2
0,s1_f4,0,0,0,2
0.6,s1_h5,1,0.347333,0.518573,2
1,s2_f4,1,1,1,2
1,s2_h5,1,0.993333,1,2
1,s3_f4,1,0.96,1,2
1,s3_h5,1,0.986667,1,2
1,s4_f4,1,1,1,2
1,s4_h5,1,0.993333,1,2
1,s1_f5,1,0.98,1,2
1,s2_f5,1,1,1,2
1,s3_f5,1,1,1,2
0,s4_f5,0,0,0,2
1,s1_f1,1,1,1,3
1,s1_f2,1,1,1,3
0,s1_h1,1,0,0.303265,3
1,s1_h2,1,0.993333,1,3
1,s2_f1,1,1,1,3
1,s2_f2,1,1,1,3
1,s2_h1,1,1,1,3
1,s2_h2,1,0.986667,1,3
1,s3_f1,1,0.986,1,3
1,s3_f2,1,1,1,3
1,s3_h1,1,1,1,3
1,s3_h2,1,0.953333,1,3
1,s4_f1,1,1,1,3
1,s4_f2,1,0.98,1,3
1,s4_h1,1,1,1,3
1,s4_h2,1,0.993333,1,3
1,s1_f3,1,0.993333,1,3
1,s1_h3,1,0.995,1,3
1,s1_h4,1,0.993333,1,3
1,s2_f3,1,0.953333,1,3
1,s2_h3,1,0.975,1,3
1,s2_h4,1,0.993333,1,3
1,s3_f3,1,0.986667,1,3
1,s3_h3,1,0.985,1,3
1,s3_h4,1,0.986667,1,3
1,s4_f3,1,0.993333,1,3
1,s4_h3,1,0.985,1,3
1,s4_h4,1,0.953333,1,3
0.6,s1_f4,0.6,1,0.654985,3
1,s1_h5,1,0.98,1,3
1,s2_f4,1,1,1,3
1,s2_h5,1,0.98,1,3
1,s3_f4,1,0.96,1,3
1,s3_h5,1,1,1,3
1,s4_f4,1,1,1,3
0.6,s4_h5,1,0.352,0.518573,3
0,s1_f5,0,0,0,3
1,s2_f5,1,1,1,3
1,s3_f5,1,1,1,3
1,s4_f5,1,0.98,1,3
0.6,s1_f1,1,0.282,0.402192,4
0.6,s1_f2,1,0.338667,0.518573,4
0.4,s1_h1,0.8,0.12,0.303265,4
0.2,s1_h2,1,0,0.303265,4
1,s2_f1,1,1,1,4
1,s2_f2,1,0.993333,1,4
1,s2_h1,1,1,1,4
1,s2_h2,1,0.973333,1,4
1,s3_f1,1,1,1,4
1,s3_f2,1,0.993333,1,4
1,s3_h1,1,1,1,4
1,s3_h2,1,0.966667,1,4
1,s4_f1,1,1,1,4
1,s4_f2,1,0.986667,1,4
1,s4_h1,1,1,1,4
1,s4_h2,1,0.993333,1,4
1,s1_f3,1,0.993333,1,4
0.6,s1_h3,1,0.311333,0.518573,4
1,s1_h4,1,0.993333,1,4
1,s2_f3,1,0.953333,1,4
1,s2_h3,1,0.973333,1,4
1,s2_h4,1,0.993333,1,4
1,s3_f3,1,0.986667,1,4
1,s3_h3,1,0.986667,1,4
1,s3_h4,1,0.986667,1,4
1,s4_f3,1,0.993333,1,4
1,s4_h3,1,0.986667,1,4
1,s4_h4,1,0.953333,1,4
0,s1_f4,0,0,0,4
0,s1_h5,1,0,0.303265,4
1,s2_f4,1,1,1,4
1,s2_h5,1,0.993333,1,4
1,s3_f4,1,0.96,1,4
1,s3_h5,1,0.986667,1,4
1,s4_f4,1,1,1,4
1,s4_h5,1,0.993333,1,4
0.6,s1_f5,0.6,0.99,0.654985,4
1,s2_f5,1,0.99,1,4
1,s3_f5,1,0.99,1,4
1,s4_f5,1,0.99,1,4
0.2,s1_f1,1,0,0.303265,5
1,s1_f2,1,1,1,5
0.2,s1_h1,1,0,0.303265,5
1,s1_h2,1,0.993333,1,5
1,s2_f1,1,1,1,5
0.6,s2_f2,0.6,1,0.654985,5
1,s2_h1,1,1,1,5
1,s2_h2,1,0.986667,1,5
1,s3_f1,1,1,1,5
1,s3_f2,1,1,1,5
1,s3_h1,1,1,1,5
1,s3_h2,1,0.953333,1,5
1,s4_f1,1,1,1,5
1,s4_f2,1,0.98,1,5
1,s4_h1,1,1,1,5
1,s4_h2,1,0.993333,1,5
0.2,s1_f3,0.2,0.986667,0.402192,5
1,s1_h3,1,0.995,1,5
1,s1_h4,1,0.993333,1,5
1,s2_f3,1,0.943333,1,5
1,s2_h3,1,0.975,1,5
1,s2_h4,1,0.993333,1,5
1,s3_f3,1,0.996667,1,5
1,s3_h3,1,0.985,1,5
1,s3_h4,1,0.986667,1,5
1,s4_f3,1,0.983333,1,5
1,s4_h3,1,0.985,1,5
1,s4_h4,1,0.953333,1,5
0.6,s1_f4,0.6,0.999111,0.654985,5
1,s1_h5,1,0.975,1,5
1,s2_f4,1,0.999556,1,5
1,s2_h5,1,0.985,1,5
1,s3_f4,1,0.959556,1,5
1,s3_h5,1,0.995,1,5
1,s4_f4,1,0.999556,1,5
1,s4_h5,1,0.985,1,5
1,s1_f5,1,1,1,5
1,s2_f5,1,0.98,1,5
0,s3_f5,0,0,0,5
1,s4_f5,1,1,1,5
1,s1_f1,1,1,1,6
1,s1_f2,1,1,1,6
0.4,s1_h1,0.6,0.413333,0.303265,6
1,s1_h2,1,0.993333,1,6
1,s2_f1,1,1,1,6
1,s2_f2,1,1,1,6
1,s2_h1,1,1,1,6
1,s2_h2,1,0.986667,1,6
1,s3_f1,1,1,1,6
1,s3_f2,1,1,1,6
1,s3_h1,1,1,1,6
1,s3_h2,1,0.953333,1,6
1,s4_f1,1,1,1,6
1,s4_f2,1,0.98,1,6
1,s4_h1,1,1,1,6
1,s4_h2,1,0.993333,1,6
1,s1_f3,1,0.993333,1,6
1,s1_h3,1,0.995,1,6
1,s1_h4,1,0.993333,1,6
1,s2_f3,1,0.953333,1,6
1,s2_h3,1,0.975,1,6
1,s2_h4,1,0.993333,1,6
1,s3_f3,1,0.986667,1,6
1,s3_h3,1,0.985,1,6
1,s3_h4,1,0.986667,1,6
1,s4_f3,1,0.993333,1,6
1,s4_h3,1,0.985,1,6
1,s4_h4,1,0.953333,1,6
0.6,s1_f4,0.6,0.995556,0.654985,6
1,s1_h5,1,0.975,1,6
1,s2_f4,1,0.997778,1,6
1,s2_h5,1,0.985,1,6
1,s3_f4,1,0.957778,1,6
1,s3_h5,1,0.995,1,6
1,s4_f4,1,0.997778,1,6
1,s4_h5,1,0.985,1,6
1,s1_f5,1,0.99,1,6
1,s2_f5,1,0.99,1,6
1,s3_f5,1,0.99,1,6
1,s4_f5,1,0.99,1,6
0,s1_f1,0,0,0,7
1,s1_f2,1,0.993333,1,7
0.2,s1_h1,0.2,1,0.402192,7
0.6,s1_h2,0.6,0.993333,0.654985,7
1,s2_f1,1,1,1,7
1,s2_f2,1,0.993333,1,7
1,s2_h1,1,1,1,7
1,s2_h2,1,0.986667,1,7
1,s3_f1,1,1,1,7
0.4,s3_f2,0.6,0.483333,0.303265,7
1,s3_h1,1,1,1,7
1,s3_h2,1,0.953333,1,7
1,s4_f1,1,1,1,7
1,s4_f2,1,0.986667,1,7
1,s4_h1,1,1,1,7
1,s4_h2,1,0.993333,1,7
1,s1_f3,1,0.993333,1,7
0,s1_h3,1,0,0.303265,7
1,s1_h4,1,0.993333,1,7
1,s2_f3,1,0.953333,1,7
1,s2_h3,1,0.973333,1,7
1,s2_h4,1,0.993333,1,7
1,s3_f3,1,0.986667,1,7
1,s3_h3,1,0.986667,1,7
1,s3_h4,1,0.986667,1,7
1,s4_f3,1,0.993333,1,7
1,s4_h3,1,0.986667,1,7
1,s4_h4,1,0.953333,1,7
0.2,s1_f4,1,0,0.303265,7
0,s1_h5,0,0,0,7
1,s2_f4,1,1,1,7
1,s2_h5,1,1,1,7
1,s3_f4,1,1,1,7
1,s3_h5,1,0.98,1,7
1,s4_f4,1,1,1,7
1,s4_h5,1,1,1,7
1,s1_f5,1,0.993333,1,7
1,s2_f5,1,0.986667,1,7
0.6,s3_f5,1,0.515333,0.654985,7
1,s4_f5,1,0.993333,1,7
1,s1_f1,1,1,1,8
0.6,s1_f2,0.6,1,0.654985,8
1,s1_h1,1,1,1,8
0,s1_h2,0,0,0,8
1,s2_f1,1,1,1,8
1,s2_f2,1,1,1,8
0.2,s2_h1,1,0,0.303265,8
1,s2_h2,1,0.989333,1,8
0.6,s3_f1,0.6,1,0.654985,8
1,s3_f2,1,1,1,8
1,s3_h1,1,1,1,8
1,s3_h2,1,0.986667,1,8
1,s4_f1,1,1,1,8
1,s4_f2,1,0.98,1,8
1,s4_h1,1,1,1,8
1,s4_h2,1,0.997333,1,8
