Label,NodeID,Recente,Ancienne,periode
0,s1_f1,nan,0.5,1
1,s1_f2,nan,0.5,1
0,s1_h1,nan,0.5,1
0.2,s1_h2,nan,0.5,1
1,s2_f1,nan,0.5,1
1,s2_f2,nan,0.5,1
1,s2_h1,nan,0.5,1
1,s2_h2,nan,0.5,1
1,s3_f1,nan,0.5,1
0,s3_f2,nan,0.5,1
1,s3_h1,nan,0.5,1
1,s3_h2,nan,0.5,1
1,s4_f1,nan,0.5,1
1,s4_f2,nan,0.5,1
1,s4_h1,nan,0.5,1
1,s4_h2,nan,0.5,1
0.6,s1_f3,nan,0.5,1
1,s1_h3,nan,0.5,1
1,s1_h4,nan,0.5,1
1,s2_f3,nan,0.5,1
1,s2_h3,nan,0.5,1
1,s2_h4,nan,0.5,1
1,s3_f3,nan,0.5,1
1,s3_h3,nan,0.5,1
1,s3_h4,nan,0.5,1
1,s4_f3,nan,0.5,1
0.2,s4_h3,nan,0.5,1
0.6,s4_h4,nan,0.5,1
0.6,s1_f4,nan,0.5,1
0,s1_h5,nan,0.5,1
1,s2_f4,nan,0.5,1
1,s2_h5,nan,0.5,1
1,s3_f4,nan,0.5,1
1,s3_h5,nan,0.5,1
1,s4_f4,nan,0.5,1
1,s4_h5,nan,0.5,1
0.2,s1_f5,nan,0.5,1
1,s2_f5,nan,0.5,1
1,s3_f5,nan,0.5,1
1,s4_f5,nan,0.5,1
0.2,s1_f1,0,0.5,2
0,s1_f2,0.995412,0.5,2
1,s1_h1,0,0.5,2
0.6,s1_h2,0.481032,0.5,2
1,s2_f1,0.99633,0.5,2
1,s2_f2,0.99633,0.5,2
1,s2_h1,0.995412,0.5,2
1,s2_h2,0.997935,0.5,2
1,s3_f1,0.999082,0.5,2
1,s3_f2,0.261524,0.5,2
0,s3_h1,0.999082,0.5,2
1,s3_h2,0.997935,0.5,2
1,s4_f1,0.995412,0.5,2
1,s4_f2,0.999082,0.5,2
1,s4_h1,0.99633,0.5,2
1,s4_h2,0.999312,0.5,2
1,s1_f3,0.700637,0.5,2
0,s1_h3,0.997935,0.5,2
1,s1_h4,0.999082,0.5,2
1,s2_f3,0.992659,0.5,2
1,s2_h3,0.996559,0.5,2
1,s2_h4,0.998165,0.5,2
1,s3_f3,0.999082,0.5,2
1,s3_h3,0.995183,0.5,2
1,s3_h4,0.999082,0.5,2
1,s4_f3,0.999082,0.5,2
1,s4_h3,0.481032,0.5,2
1,s4_h4,0.489957,0.5,2
0,s1_f4,0.702472,0.5,2
0.6,s1_h5,0,0.5,2
1,s2_f4,0.994494,0.5,2
1,s2_h5,1,0.5,2
1,s3_f4,1,0.5,2
1,s3_h5,1,0.5,2
1,s4_f4,1,0.5,2
1,s4_h5,0.997247,0.5,2
1,s1_f5,0.367848,0.5,2
1,s2_f5,0.99633,0.5,2
0,s3_f5,0.999082,0.5,2
1,s4_f5,0.995412,0.5,2
0.2,s1_f1,0.261524,0.290382,3
0,s1_f2,0,0.707694,3
0,s1_h1,0.998899,0.290382,3
0,s1_h2,0.699031,0.492048,3
1,s2_f1,0.99633,0.708079,3
1,s2_f2,0.997247,0.708079,3
1,s2_h1,0.997798,0.707694,3
1,s2_h2,0.997935,0.708752,3
1,s3_f1,0.999082,0.709233,3
1,s3_f2,1,0.400022,3
1,s3_h1,0.261524,0.709233,3
1,s3_h2,0.997935,0.708752,3
1,s4_f1,0.995412,0.707694,3
1,s4_f2,1,0.709233,3
1,s4_h1,0.998899,0.708079,3
1,s4_h2,0.999312,0.709329,3
1,s1_f3,0.998165,0.584114,3
1,s1_h3,0.261524,0.708752,3
1,s1_h4,0.998624,0.709233,3
1,s2_f3,0.992659,0.70654,3
1,s2_h3,0.997247,0.708175,3
1,s2_h4,0.998624,0.708849,3
0,s3_f3,0.999082,0.709233,3
0,s3_h3,0.994494,0.707598,3
1,s3_h4,0.998624,0.709233,3
1,s4_f3,0.999082,0.709233,3
1,s4_h3,0.997247,0.492048,3
1,s4_h4,0.998624,0.49579,3
0.2,s1_f4,0,0.584884,3
0,s1_h5,0.699719,0.290382,3
1,s2_f4,0.994494,0.70731,3
1,s2_h5,1,0.709618,3
1,s3_f4,1,0.709618,3
1,s3_h5,1,0.709618,3
1,s4_f4,1,0.709618,3
1,s4_h5,0.997247,0.708464,3
0,s1_f5,0.997247,0.444597,3
1,s2_f5,0.997247,0.708079,3
1,s3_f5,0.261524,0.709233,3
1,s4_f5,0.994494,0.707694,3
0,s1_f1,0.261524,0.278284,4
1,s1_f2,0,0.411004,4
1,s1_h1,0,0.587418,4
0.4,s1_h2,0,0.578823,4
1,s2_f1,0.99633,0.828924,4
1,s2_f2,0.997247,0.829309,4
1,s2_h1,1,0.829316,4
1,s2_h2,1,0.829988,4
1,s3_f1,0.999082,0.830748,4
0,s3_f2,1,0.651555,4
0.2,s3_h1,1,0.521538,4
1,s3_h2,1,0.829988,4
1,s4_f1,0.995412,0.828316,4
1,s4_f2,1,0.831133,4
1,s4_h1,1,0.830001,4
1,s4_h2,0.997247,0.8309,4
1,s1_f3,0.999082,0.757699,4
1,s1_h3,0.99633,0.521258,4
0.6,s1_h4,0.998624,0.830556,4
1,s2_f3,0.995412,0.826492,4
1,s2_h3,0.998165,0.829365,4
1,s2_h4,0.998624,0.830333,4
1,s3_f3,0.261524,0.830748,4
1,s3_h3,0.261524,0.827875,4
1,s3_h4,0.998624,0.830556,4
0,s4_f3,0.99633,0.830748,4
0,s4_h3,0.998165,0.703846,4
1,s4_h4,0.998624,0.706596,4
0,s1_f4,0.484473,0.339679,4
0,s1_h5,0,0.461991,4
1,s2_f4,0.994494,0.827708,4
1,s2_h5,1,0.831356,4
1,s3_f4,1,0.831356,4
1,s3_h5,1,0.831356,4
1,s4_f4,1,0.831356,4
1,s4_h5,0.997247,0.829532,4
0.6,s1_f5,0.261524,0.676288,4
1,s2_f5,0.99633,0.829309,4
1,s3_f5,0.999082,0.521538,4
1,s4_f5,0.995412,0.827931,4
1,s1_f1,0.261524,0.271258,5
0.6,s1_f2,0.995412,0.238696,5
1,s1_h1,1,0.341151,5
1,s1_h2,0.287309,0.33616,5
1,s2_f1,0.99633,0.899106,5
1,s2_f2,0.99633,0.899715,5
1,s2_h1,1,0.900873,5
1,s2_h2,0.999082,0.901263,5
1,s3_f1,0.999082,0.90132,5
1,s3_f2,0.261524,0.797635,5
1,s3_h1,0.261524,0.722126,5
1,s3_h2,0.999082,0.901263,5
1,s4_f1,0.995412,0.898369,5
1,s4_f2,0.999082,0.901928,5
1,s4_h1,1,0.901271,5
1,s4_h2,0.998165,0.900639,5
1,s1_f3,0.999082,0.858896,5
1,s1_h3,0.999082,0.720425,5
1,s1_h4,0.379868,0.901016,5
1,s2_f3,0.995412,0.897309,5
1,s2_h3,0.995412,0.900132,5
1,s2_h4,1,0.900886,5
1,s3_f3,0.99633,0.592109,5
1,s3_h3,0.99633,0.590441,5
1,s3_h4,1,0.901016,5
1,s4_f3,0,0.900166,5
1,s4_h3,0,0.827235,5
1,s4_h4,1,0.829024,5
1,s1_f4,0,0.400382,5
1,s1_h5,0.261524,0.268308,5
1,s2_f4,0.994494,0.897631,5
1,s2_h5,0.999082,0.902058,5
1,s3_f4,1,0.902058,5
1,s3_h5,0.999082,0.902058,5
1,s4_f4,1,0.902058,5
1,s4_h5,0.998165,0.899844,5
1,s1_f5,0.701554,0.502404,5
1,s2_f5,0.999082,0.89933,5
1,s3_f5,0.998165,0.721741,5
1,s4_f5,0.992659,0.898145,5
0.4,s1_f1,0.996559,0.267177,6
0.2,s1_f2,0.379501,0.555939,6
0,s1_h1,1,0.617364,6
0,s1_h2,0.997591,0.315679,6
1,s2_f1,0.995183,0.939866,6
1,s2_f2,0.998165,0.940219,6
1,s2_h1,1,0.942431,6
1,s2_h2,0.99828,0.942273,6
1,s3_f1,0.997935,0.942306,6
1,s3_f2,0.999082,0.572878,6
1,s3_h1,1,0.529025,6
1,s3_h2,0.99828,0.942273,6
1,s4_f1,0.996559,0.939053,6
1,s4_f2,0.999082,0.942659,6
1,s4_h1,1,0.942662,6
1,s4_h2,0.998968,0.941525,6
0,s1_f3,0.998165,0.917667,6
1,s1_h3,0.997935,0.837248,6
0,s1_h4,1,0.682532,6
1,s2_f3,0.992659,0.938437,6
1,s2_h3,0.996559,0.940077,6
1,s2_h4,1,0.942438,6
1,s3_f3,0.999082,0.761573,6
0.2,s3_h3,0.995183,0.760604,6
1,s3_h4,1,0.942514,6
1,s4_f3,0.999082,0.522784,6
1,s4_h3,0.996559,0.480428,6
1,s4_h4,1,0.900703,6
1,s1_f4,1,0.232528,6
0,s1_h5,0.997247,0.265464,6
