SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f2,f5,5,0.979502,0.75,0.0994279,0.5,0.7
f2,h5,5,0.97929,0.25,0.191639,0.5,0.5
h3,f1,5,0.979731,0.5,0.659381,0.5,0.9
h3,f2,5,0.980613,0.5,0.851998,0.5,0.5
h3,f3,5,0.980613,0.5,0.805921,0.5,0.5
h3,f4,5,0.97997,0.5,0.440104,0.5,0.5
h3,f5,5,0.979502,0,0.225157,0.5,0.5
h3,h5,5,0.97929,1,0.334537,0.5,0.7
h5,f1,5,0.979731,0.333333,0.119574,0.5,0.5
h5,f2,5,0.980613,0.333333,0.191639,0.5,0.5
h5,f3,5,0.980613,0.333333,0.517238,0.5,0.61
h5,f4,5,0.97997,0.333333,0.793936,0.5,0.85
h5,f5,5,0.979502,0.333333,0.750669,0.5,0.94
h2,f1,5,0.979731,0.5,0.685799,0.5,0.5
h2,f2,5,0.980613,0.5,0.768221,0.5,0.5
h2,f3,5,0.980613,0.5,0.428662,0.5,0.7
h2,f4,5,0.97997,0,0.0635079,0.5,0.5
h2,f5,5,0.979502,0.5,0,0.5,0.5
h2,h5,5,0.97929,1,0,0.5,0.5
h5,f1,6,0.987844,0.333333,0.119574,0.5,0.5
h5,f2,6,0.987949,0.333333,0.191639,0.6,0.5
h5,f3,6,0.988741,0.333333,0.517238,0.5,0.61
h3,f1,6,0.987844,0.5,0.659381,0.5,0.9
h3,f2,6,0.987949,0.5,0.851998,0.6,0.7
h3,f3,6,0.988741,0.5,0.805921,0.5,0.5
f1,f2,6,0.987949,0.666667,0.742268,0.6,0.7
f1,f3,6,0.988741,0.333333,0.502559,0.5,0.5
f3,f1,6,0.987844,0.333333,0.502559,0.5,0.5
f3,f2,6,0.987949,0.333333,0.657919,0.6,0.5
h3,f1,6,0.987844,0.5,0.659381,0.5,0.925
h3,f2,6,0.987949,0.5,0.851998,0.6,0.7
h3,f3,6,0.988741,0.5,0.805921,0.5,0.5
h3,h5,6,0.987395,1,0.334537,0.5,0.7
h1,f1,6,0.987844,0,0.750855,0.5,0.5
h1,f2,6,0.987949,0.5,0.556362,0.6,0.82
h1,f3,6,0.988741,0.5,0.4744,0.5,0.5
h1,h5,6,0.987395,0.5,0.228055,0.5,0.7
f2,f1,6,0.987844,0.5,0.742268,0.5,0.7
f2,f3,6,0.988741,0.25,0.657919,0.5,0.5
f2,h5,6,0.987395,0.25,0.191639,0.5,0.5
f2,f3,6,0.988741,0.25,0.657919,0.5,0.5
f2,h5,6,0.987395,0.25,0.191639,0.5,0.5
f2,h1,6,0.987683,0.25,0.556362,0.5,0.5
h1,f2,7,0.993379,0.5,0.556362,0.6,0.82
f3,f2,7,0.993379,0.333333,0.657919,0.6,0.5
h1,f2,7,0.993379,0.5,0.556362,0.6,0.82
h3,f5,7,0.992478,0,0.225157,0.5,0.5
f3,f5,7,0.992478,0.333333,0.375065,0.5,0.5
f3,h4,7,0.992555,0.333333,0.83245,0.5,0.5
h3,f3,7,0.993461,0.5,0.805921,0.6,0.5
h3,f4,7,0.99334,0.5,0.440104,0.5,0.5
h3,f5,7,0.992478,0,0.225157,0.5,0.5
h3,h4,7,0.992555,1,0.638371,0.5,0.7
h4,f3,7,0.993461,0.5,0.83245,0.6,0.7
h4,f4,7,0.99334,0.5,0.801733,0.5,0.5
h4,f5,7,0.992478,0,0.480404,0.5,0.5
h5,f3,7,0.993461,0.333333,0.517238,0.6,0.78
h5,f4,7,0.99334,0.333333,0.793936,0.5,0.9
h5,f5,7,0.992478,0.333333,0.750669,0.5,0.94
h5,h3,7,0.992555,0.666667,0.334537,0.5,0.7
h5,h4,7,0.992555,0.666667,0.664526,0.5,0.7
h5,f3,7,0.993461,0.333333,0.517238,0.6,0.78
h5,f4,7,0.99334,0.333333,0.793936,0.5,0.9
h5,f5,7,0.992478,0.333333,0.750669,0.5,0.95
h5,h3,7,0.992555,0.666667,0.334537,0.5,0.7
h5,h4,7,0.992555,0.666667,0.664526,0.5,0.7
f1,f3,7,0.993461,0.333333,0.502559,0.6,0.5
f1,f4,7,0.99334,0.333333,0.163344,0.5,0.5
f1,f5,7,0.992478,0.666667,0.0983332,0.5,0.5
f1,h3,7,0.992555,0.333333,0.659381,0.5,0.5
f1,h4,7,0.992555,0.333333,0.350769,0.5,0.5
h1,f2,8,0.996155,0.5,0.556362,0.6,0.415
h3,f2,8,0.996155,0.5,0.851998,0.6,0.7
h3,f4,8,0.996132,0.5,0.440104,0.5,0.5
h4,f4,8,0.996132,0.5,0.801733,0.5,0.5
h5,f1,8,0.995292,0.333333,0.119574,0.5,0.5
h5,f3,8,0.996202,0.333333,0.517238,0.6,0.78
h5,f4,8,0.996132,0.333333,0.793936,0.5,0.925
h5,f5,8,0.995247,0.333333,0.750669,0.5,0.95
f5,f1,8,0.995292,0.666667,0.0983332,0.5,0.5
f5,f3,8,0.996202,0.333333,0.375065,0.6,0.7
