Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
1.0,s1_f5,1.0,0.561499,12,0.627272955904,0.906818238976
0.0,s2_f5,0.261524,0.996306,12,0.99818601472,0.24954650368
1.0,s3_f5,1.0,0.717094,12,0.71268293632,0.9281707340800001
1.0,s4_f5,1.0,0.996698,12,0.99549862912,0.99887465728
1.0,s1_f1,0.995412,0.603577,13,0.584599595008,0.896149898752
1.0,s1_f2,1.0,0.459082,13,0.4443974946816,0.8610993736704
0.4,s1_h1,0.1986,0.829116,13,0.7817605304320001,0.4954401326080001
0.0,s1_h2,0.0,0.634644,13,0.580841490432,0.145210372608
1.0,s2_f1,0.99633,0.687976,13,0.678911608832,0.919727902208
1.0,s2_f2,0.991742,0.993457,13,0.758911608832,0.9397279022080001
1.0,s2_h1,1.0,0.995164,13,0.998911608832,0.999727902208
1.0,s2_h2,0.998899,0.995321,13,0.998911608832,0.999727902208
0.0,s3_f1,0.0774968,0.941177,13,0.932141688832,0.233035422208
0.0,s3_f2,0.0,0.988954,13,0.9877141688319999,0.24692854220799998
1.0,s3_h1,1.0,0.743143,13,0.7804363542528,0.9451090885632
1.0,s3_h2,0.998624,0.986786,13,0.983981688832,0.995995422208
1.0,s4_f1,0.999082,0.998012,13,0.998911608832,0.999727902208
1.0,s4_f2,1.0,0.960482,13,0.947071608832,0.986767902208
1.0,s4_h1,1.0,0.803608,13,0.8223564206080001,0.955589105152
1.0,s4_h2,0.999725,0.817792,13,0.7583311335424,0.9395827833856
1.0,s1_f3,0.995412,0.616806,13,0.5829323542528001,0.8957330885632
0.0,s1_h3,0.261524,0.810947,13,0.755480922112,0.188870230528
0.6,s1_h4,0.702105,0.685683,13,0.5709647892479999,0.5927411973119999
1.0,s2_f3,0.99633,0.997199,13,0.998911608832,0.999727902208
1.0,s2_h3,0.999816,0.997449,13,0.998911608832,0.999727902208
1.0,s2_h4,0.999816,0.988132,13,0.9877141688319999,0.996928542208
1.0,s3_f3,0.999082,0.99858,13,0.998911608832,0.999727902208
1.0,s3_h3,0.999816,0.579367,13,0.598911608832,0.899727902208
1.0,s3_h4,0.991925,0.968794,13,0.964351608832,0.991087902208
0.0,s4_f3,0.0,0.99858,13,0.998911608832,0.249727902208
1.0,s4_h3,0.999633,0.817971,13,0.8060408958976,0.9515102239744
1.0,s4_h4,0.999816,0.997431,13,0.998911608832,0.999727902208
1.0,s1_f4,0.99789,0.633945,13,0.3478491009024,0.8369622752256
1.0,s1_h5,0.998165,0.491726,13,0.43726669619200004,0.859316674048
1.0,s2_f4,0.992384,0.977795,13,0.980249208832,0.995062302208
