Label,NodeID,Recente,Ancienne,periode,label_experience
1.0,s1_f1,0.0,0.5,2,0.3
0.6,s1_f2,0.322269,0.5,2,0.46
1.0,s1_h1,0.995114,0.5,2,0.7
1.0,s1_h2,0.999297,0.5,2,0.7
1.0,s2_f1,0.997247,0.5,2,0.7
1.0,s2_f2,0.99633,0.5,2,0.7
1.0,s2_h1,0.996628,0.5,2,0.7
1.0,s2_h2,0.999297,0.5,2,0.7
1.0,s3_f1,0.997247,0.5,2,0.7
1.0,s3_f2,0.999082,0.5,2,0.7
1.0,s3_h1,0.478073,0.5,2,0.38
1.0,s3_h2,0.991038,0.5,2,0.7
1.0,s4_f1,1.0,0.5,2,0.7
1.0,s4_f2,0.995412,0.5,2,0.7
0.4,s4_h1,0.995114,0.5,2,0.7
1.0,s4_h2,0.701065,0.5,2,0.54
1.0,s1_f3,0.261524,0.5,2,0.38
1.0,s1_h3,0.99633,0.5,2,0.7
1.0,s1_h4,0.0,0.5,2,0.3
1.0,s2_f3,0.998165,0.5,2,0.7
1.0,s2_h3,0.998165,0.5,2,0.7
1.0,s2_h4,1.0,0.5,2,0.7
1.0,s3_f3,0.999082,0.5,2,0.7
1.0,s3_h3,0.998165,0.5,2,0.7
1.0,s3_h4,0.991742,0.5,2,0.7
1.0,s4_f3,0.999082,0.5,2,0.7
1.0,s4_h3,0.324104,0.5,2,0.46
1.0,s4_h4,1.0,0.5,2,0.7
1.0,s1_f4,0.701065,0.5,2,0.54
1.0,s1_h5,0.999082,0.5,2,0.7
1.0,s2_f4,0.991038,0.5,2,0.7
1.0,s2_h5,0.998165,0.5,2,0.7
0.4,s3_f4,0.999297,0.5,2,0.7
1.0,s3_h5,0.999082,0.5,2,0.7
1.0,s4_f4,0.999297,0.5,2,0.7
0.4,s4_h5,0.474105,0.5,2,0.38
1.0,s1_f5,0.700201,0.5,2,0.54
1.0,s2_f5,0.997087,0.5,2,0.7
0.0,s3_f5,0.997408,0.5,2,0.7
1.0,s4_f5,0.997408,0.5,2,0.7
1.0,s1_f1,0.995871,0.290382,3,0.5800000000000001
0.0,s1_f2,0.701096,0.425489,3,0.516
0.0,s1_h1,0.99633,0.707569,3,0.8200000000000001
0.0,s1_h2,0.999082,0.709323,3,0.8200000000000001
1.0,s2_f1,0.995871,0.708464,3,0.8200000000000001
1.0,s2_f2,0.995871,0.708079,3,0.8200000000000001
1.0,s2_h1,0.995412,0.708204,3,0.8200000000000001
1.0,s2_h2,0.999082,0.709323,3,0.8200000000000001
1.0,s3_f1,0.998624,0.708464,3,0.8200000000000001
1.0,s3_f2,0.998624,0.709233,3,0.8200000000000001
1.0,s3_h1,0.999082,0.490808,3,0.628
1.0,s3_h2,0.992659,0.705861,3,0.8200000000000001
1.0,s4_f1,0.998624,0.709618,3,0.8200000000000001
1.0,s4_f2,0.995871,0.707694,3,0.8200000000000001
1.0,s4_h1,0.291002,0.707569,3,0.5800000000000001
1.0,s4_h2,0.998165,0.584294,3,0.724
1.0,s1_f3,0.993577,0.400022,3,0.628
0.2,s1_h3,0.996559,0.708079,3,0.8200000000000001
0.6,s1_h4,0.997935,0.290382,3,0.5800000000000001
1.0,s2_f3,0.998165,0.708849,3,0.8200000000000001
1.0,s2_h3,0.997935,0.708849,3,0.8200000000000001
1.0,s2_h4,0.996559,0.709618,3,0.8200000000000001
1.0,s3_f3,0.999082,0.709233,3,0.8200000000000001
1.0,s3_h3,0.997935,0.708849,3,0.8200000000000001
1.0,s3_h4,0.995183,0.706156,3,0.8200000000000001
1.0,s4_f3,0.999082,0.709233,3,0.8200000000000001
1.0,s4_h3,0.999312,0.426258,3,0.676
1.0,s4_h4,0.996559,0.709618,3,0.8200000000000001
0.4,s1_f4,0.999082,0.584294,3,0.724
0.4,s1_h5,0.999082,0.709233,3,0.8200000000000001
1.0,s2_f4,0.995412,0.705861,3,0.8200000000000001
1.0,s2_h5,0.998165,0.708849,3,0.8200000000000001
1.0,s3_f4,0.424371,0.709323,3,0.5800000000000001
1.0,s3_h5,0.999082,0.709233,3,0.8200000000000001
1.0,s4_f4,0.99633,0.709323,3,0.8200000000000001
1.0,s4_h5,0.395238,0.489144,3,0.388
1.0,s1_f5,0.998165,0.583931,3,0.724
1.0,s2_f5,0.99633,0.708397,3,0.8200000000000001
1.0,s3_f5,0.0904807,0.708531,3,0.42
0.6,s4_f5,0.998165,0.708531,3,0.8200000000000001
0.6,s1_f1,0.995871,0.586148,4,0.748
0.0,s1_f2,0.261524,0.541033,4,0.3096
1.0,s1_h1,0.0,0.828628,4,0.492
1.0,s1_h2,0.261524,0.8308,4,0.492
1.0,s2_f1,0.995871,0.828955,4,0.892
1.0,s2_f2,0.99633,0.828732,4,0.892
1.0,s2_h1,0.995412,0.828612,4,0.892
1.0,s2_h2,0.99633,0.8308,4,0.892
1.0,s3_f1,0.998624,0.830109,4,0.892
1.0,s3_f2,0.999082,0.830556,4,0.892
0.0,s3_h1,0.999082,0.703895,4,0.7767999999999999
1.0,s3_h2,0.995412,0.826097,4,0.892
1.0,s4_f1,0.998624,0.830779,4,0.892
1.0,s4_f2,0.995412,0.828508,4,0.892
1.0,s4_h1,0.99633,0.532929,4,0.748
1.0,s4_h2,0.999082,0.757803,4,0.8344
0.0,s1_f3,0.993577,0.648862,4,0.7767999999999999
0.0,s1_h3,0.26336,0.82902,4,0.5720000000000001
1.0,s1_h4,0.504455,0.587014,4,0.5880000000000001
1.0,s2_f3,0.998165,0.83014,4,0.892
1.0,s2_h3,0.999082,0.830044,4,0.892
1.0,s2_h4,0.997247,0.829914,4,0.892
1.0,s3_f3,0.999082,0.830748,4,0.892
1.0,s3_h3,0.999082,0.830044,4,0.892
1.0,s3_h4,0.994494,0.827326,4,0.892
1.0,s4_f3,0.999082,0.830748,4,0.892
1.0,s4_h3,0.998165,0.666503,4,0.8056000000000001
1.0,s4_h4,0.997247,0.829914,4,0.892
0.6,s1_f4,0.516567,0.758188,4,0.5944
0.6,s1_h5,0.402418,0.830748,4,0.652
1.0,s2_f4,0.994494,0.827251,4,0.892
1.0,s2_h5,0.999082,0.83014,4,0.892
1.0,s3_f4,0.997247,0.589861,4,0.748
1.0,s3_h5,0.998165,0.830748,4,0.892
1.0,s4_f4,0.997247,0.829646,4,0.892
1.0,s4_h5,0.999082,0.449775,4,0.6328
1.0,s1_f5,0.997431,0.757593,4,0.8344
1.0,s2_f5,0.997064,0.829108,4,0.892
1.0,s3_f5,0.997431,0.449422,4,0.652
1.0,s4_f5,0.70027,0.829956,4,0.732
0.0,s1_f1,0.701921,0.757919,5,0.6888
1.0,s1_f2,0.0,0.423853,5,0.18575999999999998
1.0,s1_h1,0.997247,0.481238,5,0.6952
0.0,s1_h2,0.999082,0.59214,5,0.6952
1.0,s2_f1,0.997064,0.898932,5,0.9352
1.0,s2_f2,0.99633,0.898995,5,0.9352
1.0,s2_h1,0.994494,0.898541,5,0.9352
1.0,s2_h2,0.999082,0.900196,5,0.9352
1.0,s3_f1,0.997431,0.900756,5,0.9352
0.0,s3_f2,0.999082,0.901208,5,0.9352
0.0,s3_h1,0.261524,0.827648,5,0.46607999999999994
