SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h1,f4,1,0.5,0.5,0.212492,0.5,0.5
h1,f5,1,0.5,0.5,0.269286,0.5,0.5
h1,h2,1,0.5,0.5,0.43937,0.5,0.5
h1,f2,2,0.900291,0.5,0.556362,0.5,0.5
h1,f5,2,0.898947,0.5,0.269286,0.5,0.5
h1,h2,2,0.900462,0.5,0.43937,0.5,0.5
h1,h4,2,0.901027,0.5,0.367107,0.5,0.5
h5,f2,2,0.900291,0.333333,0.191639,0.5,0.5
h5,f3,2,0.900291,0.333333,0.517238,0.5,0.5
h5,f5,2,0.898947,0.333333,0.750669,0.5,0.5
h5,h2,2,0.900462,0.666667,0,0.5,0.5
h5,h4,2,0.901027,0.666667,0.664526,0.5,0.5
h2,f2,2,0.900291,0.5,0.768221,0.5,0.5
h2,f3,2,0.900291,0.5,0.428662,0.5,0.5
h2,f5,2,0.898947,0.5,0,0.5,0.5
h5,f3,2,0.900291,0.333333,0.517238,0.5,0.5
h5,f5,2,0.898947,0.333333,0.750669,0.5,0.5
h5,h2,2,0.900462,0.666667,0,0.5,0.5
h3,f3,2,0.900291,0.5,0.805921,0.5,0.5
h3,h2,2,0.900462,0,0.621867,0.5,0.5
f4,f5,2,0.898947,0.5,0.552963,0.5,0.5
f4,h2,2,0.900462,0,0.0635079,0.5,0.5
h3,h2,2,0.900462,0,0.621867,0.5,0.5
h3,f5,2,0.898947,0,0.225157,0.5,0.5
f2,f5,2,0.898947,0.75,0.0994279,0.5,0.5
f2,h2,2,0.900462,0.25,0.768221,0.5,0.5
f2,h3,2,0.899555,0.25,0.851998,0.5,0.5
f1,f5,2,0.898947,0.666667,0.0983332,0.5,0.5
f1,h2,2,0.900462,0.333333,0.685799,0.5,0.5
f1,h3,2,0.899555,0.333333,0.659381,0.5,0.5
f3,f4,3,0.939518,0.666667,0.634183,0.5,0.5
h5,f2,3,0.94134,0.333333,0.191639,0.5,0.5
h5,f4,3,0.939518,0.333333,0.793936,0.5,0.5
h5,h2,3,0.941725,0.666667,0,0.5,0.5
f4,f2,3,0.94134,0.5,0.292101,0.5,0.5
f4,h2,3,0.941725,0,0.0635079,0.5,0.5
f4,h5,3,0.941708,0.5,0.793936,0.5,0.5
h3,f2,3,0.94134,0.5,0.851998,0.5,0.5
h3,h2,3,0.941725,0,0.621867,0.5,0.7
h3,h5,3,0.941708,1,0.334537,0.5,0.5
h3,h2,3,0.941725,0,0.621867,0.5,0.7
h3,f2,3,0.94134,0.5,0.851998,0.5,0.5
h3,h5,3,0.941708,1,0.334537,0.5,0.5
f3,f1,3,0.941416,0.333333,0.502559,0.5,0.5
f3,f2,3,0.94134,0.333333,0.657919,0.5,0.5
f3,h2,3,0.941725,0.333333,0.428662,0.5,0.5
f3,h5,3,0.941708,0.333333,0.517238,0.5,0.5
f5,f1,3,0.941416,0.666667,0.0983332,0.5,0.5
f5,f2,3,0.94134,1,0.0994279,0.5,0.5
f5,f3,3,0.941708,0.333333,0.375065,0.5,0.5
f5,h2,3,0.941725,0.333333,0,0.5,0.5
f5,h5,3,0.941708,0.333333,0.750669,0.5,0.5
h5,f1,3,0.941416,0.333333,0.119574,0.5,0.5
h5,f3,3,0.941708,0.333333,0.517238,0.5,0.5
h5,h2,3,0.941725,0.666667,0,0.5,0.5
h3,f1,3,0.941416,0.5,0.659381,0.5,0.5
h3,f3,3,0.941708,0.5,0.805921,0.5,0.7
h3,h2,3,0.941725,0,0.621867,0.5,0.85
h3,h5,3,0.941708,1,0.334537,0.5,0.5
f3,f2,4,0.965723,0.333333,0.657919,0.5,0.7
f3,f4,4,0.964071,0.666667,0.634183,0.5,0.7
f3,h4,4,0.964124,0.333333,0.83245,0.5,0.5
h3,f2,4,0.965723,0.5,0.851998,0.5,0.7
h3,f3,4,0.965761,0.5,0.805921,0.5,0.7
h3,f4,4,0.964071,0.5,0.440104,0.5,0.5
h3,h2,4,0.963564,0,0.621867,0.5,0.9
h3,h4,4,0.964124,1,0.638371,0.5,0.5
h3,f2,4,0.965723,0.5,0.851998,0.5,0.7
h3,f3,4,0.965761,0.5,0.805921,0.5,0.7
h3,f4,4,0.964071,0.5,0.440104,0.5,0.5
h3,h2,4,0.963564,0,0.621867,0.5,0.925
h3,h4,4,0.964124,1,0.638371,0.5,0.5
f4,f2,5,0.979709,0.5,0.292101,0.5,0.5
h5,f2,5,0.979709,0.333333,0.191639,0.5,0.5
f5,f1,5,0.980285,0.666667,0.0983332,0.5,0.5
f5,h1,5,0.975501,0.333333,0.269286,0.5,0.5
h5,f1,5,0.980285,0.333333,0.119574,0.5,0.5
h5,f3,5,0.979731,0.333333,0.517238,0.5,0.7
h5,h1,5,0.975501,0.333333,0.228055,0.5,0.5
h1,f1,5,0.980285,0,0.750855,0.5,0.5
h1,f2,5,0.979709,0.5,0.556362,0.5,0.7
h1,f3,5,0.979731,0.5,0.4744,0.5,0.5
h1,f2,5,0.979709,0.5,0.556362,0.5,0.7
h1,f3,5,0.979731,0.5,0.4744,0.5,0.5
h1,f1,5,0.980285,0,0.750855,0.5,0.5
h1,f1,5,0.980285,0,0.750855,0.5,0.5
h1,f3,5,0.979731,0.5,0.4744,0.5,0.5
h5,f1,5,0.980285,0.333333,0.119574,0.5,0.5
h5,f3,5,0.979731,0.333333,0.517238,0.5,0.85
h5,h1,5,0.975501,0.333333,0.228055,0.5,0.5
f1,f3,5,0.979731,0.333333,0.502559,0.5,0.5
f1,h1,5,0.975501,0,0.750855,0.5,0.5
h1,f1,5,0.980285,0,0.750855,0.5,0.5
h1,f3,5,0.979731,0.5,0.4744,0.5,0.34
f3,f4,7,0.983686,0.666667,0.634183,0.5,0.85
f2,f4,7,0.983686,0.25,0.292101,0.5,0.5
h1,f4,7,0.983686,0.5,0.212492,0.5,0.5
f3,f1,7,0.992655,0.333333,0.502559,0.5,0.5
f3,f4,7,0.983686,0.666667,0.634183,0.5,0.9
f3,h2,7,0.992767,0.333333,0.428662,0.5,0.5
h5,f1,7,0.992655,0.333333,0.119574,0.5,0.5
h5,f4,7,0.983686,0.333333,0.793936,0.5,0.471429
h5,h2,7,0.992767,0.666667,0,0.5,0.5
f2,f1,7,0.992655,0.5,0.742268,0.5,0.5
f2,f3,7,0.992631,0.25,0.657919,0.5,0.5
f2,f4,7,0.983686,0.25,0.292101,0.5,0.7
f2,h2,7,0.992767,0.25,0.768221,0.5,0.5
h4,f1,7,0.992655,0.5,0.350769,0.5,0.5
