Label,NodeID,knowledge,experiance,periode
1,s1_f1,0.996398,0.5,1
0.6,s1_f2,0.693021,0.5,1
0.2,s1_h1,0.261524,0.5,1
1,s1_h2,0.998165,0.5,1
1,s2_f1,0.995343,0.5,1
1,s2_f2,0.999082,0.5,1
1,s2_h1,0.995412,0.5,1
0.2,s2_h2,0.261524,0.5,1
0.6,s3_f1,0.69676,0.5,1
1,s3_f2,0.999082,0.5,1
1,s3_h1,0.999082,0.5,1
1,s3_h2,0.999082,0.5,1
1,s4_f1,0.995343,0.5,1
1,s4_f2,0.998165,0.5,1
1,s4_h1,0.99633,0.5,1
1,s4_h2,0.999082,0.5,1
0,s1_f3,0.261524,0.5,1
0.2,s1_h3,0.479725,0.5,1
1,s1_h4,0.998165,0.5,1
1,s2_f3,0.995412,0.5,1
1,s2_h3,0.995664,0.5,1
1,s2_h4,0.99633,0.5,1
1,s3_f3,0.99633,0.5,1
1,s3_h3,0.998417,0.5,1
0.2,s3_h4,0.261524,0.5,1
1,s4_f3,0.999082,0.5,1
1,s4_h3,0.99883,0.5,1
1,s4_h4,0.998165,0.5,1
0,s1_f4,0,0.5,1
1,s1_h5,0.999082,0.5,1
1,s2_f4,0.997247,0.5,1
1,s2_h5,0.999082,0.5,1
1,s3_f4,1,0.5,1
1,s3_h5,0.998165,0.5,1
1,s4_f4,1,0.5,1
1,s4_h5,0.993577,0.5,1
1,s1_f5,0.998624,0.5,1
1,s2_f5,0.995871,0.5,1
1,s3_f5,0.998624,0.5,1
1,s4_f5,0.995871,0.5,1
1,s1_f1,0.994494,0.708108,2
1,s1_f2,0.996559,0.580921,2
1,s1_h1,0.99633,0.400022,2
1,s1_h2,1,0.708849,2
1,s2_f1,0.997247,0.707666,2
1,s2_f2,0.997935,0.709233,2
1,s2_h1,0.995412,0.707694,2
1,s2_h2,1,0.400022,2
0.6,s3_f1,0.506106,0.582489,2
1,s3_f2,0.997935,0.709233,2
1,s3_h1,0.999082,0.709233,2
0,s3_h2,0,0.709233,2
1,s4_f1,0.997247,0.707666,2
1,s4_f2,0.999312,0.708849,2
0,s4_h1,0,0.708079,2
1,s4_h2,0.997247,0.709233,2
1,s1_f3,0.998624,0.400022,2
0.4,s1_h3,0.300751,0.4915,2
1,s1_h4,1,0.708849,2
1,s2_f3,0.995871,0.707694,2
1,s2_h3,0.997247,0.7078,2
1,s2_h4,0.994494,0.708079,2
1,s3_f3,0.995871,0.708079,2
1,s3_h3,1,0.708954,2
1,s3_h4,1,0.400022,2
1,s4_f3,0.998624,0.709233,2
1,s4_h3,0.997247,0.709127,2
1,s4_h4,1,0.708849,2
0.4,s1_f4,0.400285,0.290382,2
1,s1_h5,0.999082,0.709233,2
1,s2_f4,0.998165,0.708464,2
1,s2_h5,0.999082,0.709233,2
1,s3_f4,0.999082,0.709618,2
1,s3_h5,0.998165,0.708849,2
1,s4_f4,0.999082,0.709618,2
1,s4_h5,0.993577,0.706925,2
1,s1_f5,0.997247,0.709041,2
0.2,s2_f5,0.374638,0.707887,2
1,s3_f5,1,0.709041,2
1,s4_f5,0.997247,0.707887,2
0.6,s1_f1,0.691277,0.828171,3
0,s1_f2,0,0.755171,3
0,s1_h1,0,0.650016,3
0,s1_h2,0,0.83091,3
1,s2_f1,0.998165,0.829069,3
1,s2_f2,1,0.830268,3
1,s2_h1,0.995412,0.828316,3
1,s2_h2,0.997247,0.651555,3
1,s3_f1,0.99633,0.550467,3
1,s3_f2,1,0.830268,3
1,s3_h1,0.999082,0.830748,3
1,s3_h2,1,0.411897,3
1,s4_f1,0.998165,0.829069,3
1,s4_f2,0.997247,0.830621,3
1,s4_h1,0.99633,0.411227,3
1,s4_h2,1,0.829979,3
0,s1_f3,0.261524,0.650977,3
0,s1_h3,0.0774968,0.411531,3
1,s1_h4,1,0.83091,3
1,s2_f3,0.995412,0.828508,3
1,s2_h3,0.997247,0.829147,3
0.6,s2_h4,0.692195,0.828155,3
1,s3_f3,0.99633,0.828732,3
1,s3_h3,1,0.830971,3
1,s3_h4,1,0.651555,3
1,s4_f3,0.999082,0.830556,3
1,s4_h3,0.997247,0.829918,3
1,s4_h4,1,0.83091,3
1,s1_f4,1,0.336457,3
1,s1_h5,0.999082,0.830748,3
1,s2_f4,0.997247,0.829917,3
0,s2_h5,0,0.830748,3
0,s3_f4,0,0.830972,3
1,s3_h5,0.99633,0.83014,3
1,s4_f4,1,0.830972,3
1,s4_h5,0.995412,0.8271,3
0,s1_f5,0.994494,0.829867,3
1,s2_f5,0.997247,0.568177,3
1,s3_f5,0.997247,0.831021,3
1,s4_f5,0.994494,0.829197,3
1,s1_f1,0.995183,0.770781,4
0,s1_f2,0,0.438577,4
0,s1_h1,0.261524,0.377506,4
1,s1_h2,0.998624,0.482563,4
1,s2_f1,0.996559,0.89996,4
1,s2_f2,1,0.901425,4
1,s2_h1,0.995412,0.898369,4
1,s2_h2,0.998624,0.796481,4
1,s3_f1,0.997935,0.737388,4
1,s3_f2,1,0.901425,4
1,s3_h1,0.999082,0.90132,4
1,s3_h2,0.998624,0.658451,4
1,s4_f1,0.996559,0.89996,4
1,s4_f2,0.997247,0.900477,4
1,s4_h1,0.99633,0.656523,4
1,s4_h2,0.998624,0.901258,4
0,s1_f3,0,0.487705,4
1,s1_h3,0.995412,0.271492,4
1,s1_h4,1,0.901798,4
1,s2_f3,0.995412,0.89848,4
1,s2_h3,0.99633,0.899621,4
1,s2_h4,0.994494,0.771156,4
1,s3_f3,0.99633,0.898995,4
1,s3_h3,0.999082,0.901834,4
1,s3_h4,1,0.797635,4
1,s4_f3,0.999082,0.901208,4
0.4,s4_h3,0.410997,0.900068,4
1,s4_h4,1,0.901798,4
0,s1_f4,0.814764,0.614638,4
0,s1_h5,0.261524,0.90132,4
1,s2_f4,0.998165,0.900068,4
1,s2_h5,0.999082,0.482469,4
1,s3_f4,0.999082,0.482599,4
1,s3_h5,0.99633,0.899813,4
1,s4_f4,0.999082,0.901834,4
1,s4_h5,0.995412,0.897662,4
0,s1_f5,0,0.898885,4
1,s2_f5,0.995412,0.748059,4
1,s3_f5,0.999082,0.900709,4
1,s4_f5,0.99633,0.898496,4
1,s1_f1,0.995183,0.864858,5
1,s1_f2,0.996559,0.25471,5
0,s1_h1,0,0.328882,5
1,s1_h2,0.998624,0.698914,5
1,s2_f1,0.996559,0.940458,5
1,s2_f2,0.997935,0.942751,5
