SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h2,f3,1,0.5,0.5,0.428662,0.5,0.5
h2,h4,1,0.5,0,0.261497,0.5,0.5
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f5,h4,1,0.5,0,0.480404,0.5,0.5
h4,f3,1,0.5,0.5,0.83245,0.5,0.5
f3,h4,1,0.5,0.333333,0.83245,0.5,0.5
f1,f2,1,0.5,0.666667,0.742268,0.5,0.5
f1,f3,1,0.5,0.333333,0.502559,0.5,0.5
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h1,f5,1,0.5,0.5,0.269286,0.5,0.5
h3,f3,1,0.5,0.5,0.805921,0.5,0.5
h3,f5,1,0.5,0,0.225157,0.5,0.5
h5,h2,2,0.900781,0.666667,0,0.5,0.5
h1,f1,2,0.900291,0,0.750855,0.5,0.5
h1,f5,2,0.900199,0.5,0.269286,0.5,0.5
h1,h2,2,0.900781,0.5,0.43937,0.5,0.5
f2,f1,2,0.900291,0.5,0.742268,0.5,0.5
f2,f5,2,0.900199,0.75,0.0994279,0.5,0.5
f2,h2,2,0.900781,0.25,0.768221,0.5,0.5
f4,f3,2,0.900475,1,0.634183,0.5,0.5
f4,f5,2,0.900199,0.5,0.552963,0.5,0.5
f4,h2,2,0.900781,0,0.0635079,0.5,0.5
h1,f1,2,0.900291,0,0.750855,0.5,0.5
h1,f3,2,0.900475,0.5,0.4744,0.5,0.5
h1,f5,2,0.900199,0.5,0.269286,0.5,0.34
h1,h2,2,0.900781,0.5,0.43937,0.5,0.5
f1,f5,2,0.900199,0.666667,0.0983332,0.5,0.5
f1,h2,2,0.900781,0.333333,0.685799,0.5,0.5
f5,f1,2,0.900291,0.666667,0.0983332,0.5,0.5
f5,f4,2,0.899555,0.333333,0.552963,0.5,0.5
f1,f5,2,0.900199,0.666667,0.0983332,0.5,0.5
h2,f4,3,0.941043,0,0.0635079,0.5,0.5
h3,f1,3,0.941708,0.5,0.659381,0.5,0.5
h3,f4,3,0.941043,0.5,0.440104,0.5,0.5
h3,f5,3,0.941882,0,0.225157,0.5,0.5
h3,h5,3,0.940896,1,0.334537,0.5,0.5
f3,f1,3,0.941708,0.333333,0.502559,0.5,0.5
f3,f4,3,0.941043,0.666667,0.634183,0.5,0.5
f3,f5,3,0.941882,0.333333,0.375065,0.5,0.5
h5,f1,3,0.941708,0.333333,0.119574,0.5,0.5
h5,f5,3,0.941882,0.333333,0.750669,0.5,0.5
h5,h3,3,0.941784,0.666667,0.334537,0.5,0.5
h4,f1,3,0.941708,0.5,0.350769,0.5,0.5
h4,h3,3,0.941784,1,0.638371,0.5,0.5
h1,f1,3,0.941708,0,0.750855,0.5,0.5
h1,f2,3,0.941708,0.5,0.556362,0.5,0.5
h5,f3,4,0.966527,0.333333,0.517238,0.5,0.5
f1,f4,4,0.96492,0.333333,0.163344,0.5,0.5
h2,f2,4,0.965761,0.5,0.768221,0.5,0.5
h2,f4,4,0.96492,0,0.0635079,0.5,0.5
h1,f4,4,0.96492,0.5,0.212492,0.5,0.5
h1,f5,4,0.965959,0.5,0.269286,0.5,0.34
h1,h2,4,0.965791,0.5,0.43937,0.5,0.5
h5,f4,4,0.96492,0.333333,0.793936,0.5,0.5
h5,f5,4,0.965959,0.333333,0.750669,0.5,0.4
h5,h1,4,0.965444,0.333333,0.228055,0.5,0.5
h1,f4,4,0.96492,0.5,0.212492,0.5,0.5
h1,f5,4,0.965959,0.5,0.269286,0.5,0.34
f4,f1,5,0.976932,0.5,0.163344,0.5,0.5
f4,f2,5,0.979731,0.5,0.292101,0.5,0.5
f4,f3,5,0.980008,1,0.634183,0.5,0.7
f4,f5,5,0.980493,0.5,0.552963,0.5,0.5
h1,f1,5,0.976932,0,0.750855,0.5,0.7
h1,f2,5,0.979731,0.5,0.556362,0.5,0.5
h1,f4,5,0.979275,0.5,0.212492,0.5,0.66
h1,f5,5,0.980493,0.5,0.269286,0.5,0.34
h3,f1,5,0.976932,0.5,0.659381,0.5,0.5
h3,f2,5,0.979731,0.5,0.851998,0.5,0.5
h3,f3,5,0.980008,0.5,0.805921,0.5,0.7
h3,f4,5,0.979275,0.5,0.440104,0.5,0.5
h3,f5,5,0.980493,0,0.225157,0.5,0.5
f2,f1,5,0.976932,0.5,0.742268,0.5,0.566667
f2,f3,5,0.980008,0.25,0.657919,0.5,0.5
f2,f4,5,0.979275,0.25,0.292101,0.5,0.5
f2,f5,5,0.980493,0.75,0.0994279,0.5,0.5
h5,f1,5,0.976932,0.333333,0.119574,0.5,0.5
h5,f2,5,0.979731,0.333333,0.191639,0.5,0.5
h5,f3,5,0.980008,0.333333,0.517238,0.5,0.4
h5,f4,5,0.979275,0.333333,0.793936,0.5,0.5
h5,f5,5,0.980493,0.333333,0.750669,0.5,0.625
h5,f5,5,0.980493,0.333333,0.750669,0.5,0.625
h5,f4,5,0.979275,0.333333,0.793936,0.5,0.5
h5,f2,5,0.979731,0.333333,0.191639,0.5,0.5
h5,f1,5,0.976932,0.333333,0.119574,0.5,0.5
h5,f3,5,0.980008,0.333333,0.517238,0.5,0.4
h1,f1,5,0.976932,0,0.750855,0.5,0.85
h1,f2,5,0.979731,0.5,0.556362,0.5,0.5
h1,f3,5,0.980008,0.5,0.4744,0.5,0.34
h1,f4,5,0.979275,0.5,0.212492,0.5,0.66
f1,f2,5,0.979731,0.666667,0.742268,0.5,0.7
f1,f3,5,0.980008,0.333333,0.502559,0.5,0.5
f1,f4,5,0.979275,0.333333,0.163344,0.5,0.5
h4,f3,6,0.988161,0.5,0.83245,0.6,0.7
h4,h1,6,0.986036,0.5,0.367107,0.5,0.5
h1,f2,6,0.987844,0.5,0.556362,0.5,0.5
h1,f3,6,0.988161,0.5,0.4744,0.6,0.34
h3,f2,6,0.987844,0.5,0.851998,0.5,0.5
h3,f3,6,0.988161,0.5,0.805921,0.6,0.85
h3,h1,6,0.986036,0.5,0.550043,0.5,0.5
f2,f3,6,0.988161,0.25,0.657919,0.6,0.5
f2,f4,6,0.986995,0.25,0.292101,0.5,0.5
f2,h1,6,0.986036,0.25,0.556362,0.5,0.5
f5,f2,6,0.987844,1,0.0994279,0.5,0.5
