Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
0.4,s1_f1,0.292952,0.5,1,0.5,0.42500000000000004
0.2,s1_f2,0.261524,0.5,1,0.5,0.275
1.0,s1_h1,0.997247,0.5,1,0.5,0.875
0.6,s1_h2,0.70186,0.5,1,0.5,0.575
1.0,s2_f1,0.99633,0.5,1,0.5,0.875
1.0,s2_f2,0.99633,0.5,1,0.5,0.875
1.0,s2_h1,0.994494,0.5,1,0.5,0.875
1.0,s2_h2,0.999694,0.5,1,0.5,0.875
1.0,s3_f1,0.999082,0.5,1,0.5,0.875
1.0,s3_f2,0.995412,0.5,1,0.5,0.875
0.0,s3_h1,0.261524,0.5,1,0.5,0.125
1.0,s3_h2,0.996941,0.5,1,0.5,0.875
1.0,s4_f1,0.995412,0.5,1,0.5,0.875
1.0,s4_f2,0.999082,0.5,1,0.5,0.875
1.0,s4_h1,0.997247,0.5,1,0.5,0.875
1.0,s4_h2,0.999694,0.5,1,0.5,0.875
1.0,s1_f3,0.999312,0.5,1,0.5,0.875
1.0,s1_h3,1.0,0.5,1,0.5,0.875
0.2,s1_h4,0.261524,0.5,1,0.5,0.275
1.0,s2_f3,0.996559,0.5,1,0.5,0.875
1.0,s2_h3,1.0,0.5,1,0.5,0.875
1.0,s2_h4,0.995412,0.5,1,0.5,0.875
1.0,s3_f3,0.997935,0.5,1,0.5,0.875
1.0,s3_h3,1.0,0.5,1,0.5,0.875
1.0,s3_h4,0.99633,0.5,1,0.5,0.875
1.0,s4_f3,0.997935,0.5,1,0.5,0.875
0.4,s4_h3,0.326673,0.5,1,0.5,0.42500000000000004
1.0,s4_h4,0.999082,0.5,1,0.5,0.875
1.0,s1_f4,0.998165,0.5,1,0.5,0.875
0.6,s1_h5,0.495554,0.5,1,0.5,0.575
1.0,s2_f4,0.998165,0.5,1,0.5,0.875
1.0,s2_h5,0.998165,0.5,1,0.5,0.875
0.2,s3_f4,0.261524,0.5,1,0.5,0.275
1.0,s3_h5,0.99633,0.5,1,0.5,0.875
1.0,s4_f4,0.99633,0.5,1,0.5,0.875
1.0,s4_h5,0.998165,0.5,1,0.5,0.875
0.2,s1_f5,0.482065,0.5,1,0.5,0.275
1.0,s2_f5,0.99828,0.5,1,0.5,0.875
1.0,s3_f5,0.998968,0.5,1,0.5,0.875
1.0,s4_f5,0.99828,0.5,1,0.5,0.875
0.2,s1_f1,0.261524,0.413198,2,0.46,0.265
0.0,s1_f2,0.0774968,0.400022,2,0.38,0.095
0.0,s1_h1,0.0,0.708464,2,0.7,0.175
0.0,s1_h2,0.261524,0.584627,2,0.54,0.135
1.0,s2_f1,0.99633,0.708079,2,0.7,0.925
1.0,s2_f2,0.99633,0.708079,2,0.7,0.925
1.0,s2_h1,0.995412,0.70731,2,0.7,0.925
1.0,s2_h2,0.999082,0.70949,2,0.7,0.925
1.0,s3_f1,0.999082,0.709233,2,0.7,0.925
1.0,s3_f2,0.995412,0.707694,2,0.7,0.925
1.0,s3_h1,0.999082,0.400022,2,0.3,0.825
1.0,s3_h2,0.998165,0.708336,2,0.7,0.925
1.0,s4_f1,0.995412,0.707694,2,0.7,0.925
1.0,s4_f2,0.999082,0.709233,2,0.7,0.925
1.0,s4_h1,0.99633,0.708464,2,0.7,0.925
1.0,s4_h2,0.999082,0.70949,2,0.7,0.925
1.0,s1_f3,0.999312,0.709329,2,0.7,0.925
1.0,s1_h3,0.999082,0.709618,2,0.7,0.925
1.0,s1_h4,0.999082,0.400022,2,0.38,0.845
1.0,s2_f3,0.996559,0.708175,2,0.7,0.925
1.0,s2_h3,0.999082,0.709618,2,0.7,0.925
1.0,s2_h4,0.993577,0.707694,2,0.7,0.925
1.0,s3_f3,0.997935,0.708752,2,0.7,0.925
0.0,s3_h3,0.261524,0.709618,2,0.7,0.175
1.0,s3_h4,0.998165,0.708079,2,0.7,0.925
1.0,s4_f3,0.997935,0.708752,2,0.7,0.925
1.0,s4_h3,0.998165,0.427335,2,0.46,0.865
1.0,s4_h4,0.999082,0.709233,2,0.7,0.925
0.2,s1_f4,0.483923,0.708849,2,0.7,0.325
0.4,s1_h5,0.297632,0.498136,2,0.54,0.43500000000000005
1.0,s2_f4,0.998348,0.708849,2,0.7,0.925
1.0,s2_h5,0.998165,0.708849,2,0.7,0.925
1.0,s3_f4,0.998899,0.400022,2,0.38,0.845
1.0,s3_h5,0.99633,0.708079,2,0.7,0.925
1.0,s4_f4,0.992843,0.708079,2,0.7,0.925
1.0,s4_h5,0.998165,0.708849,2,0.7,0.925
1.0,s1_f5,0.996559,0.492481,2,0.38,0.845
1.0,s2_f5,0.997935,0.708897,2,0.7,0.925
1.0,s3_f5,0.999312,0.709185,2,0.7,0.925
1.0,s4_f5,0.997935,0.708897,2,0.7,0.925
1.0,s1_f1,0.997247,0.349611,3,0.35600000000000004,0.839
0.0,s1_f2,0.0,0.264808,3,0.22799999999999998,0.056999999999999995
1.0,s1_h1,0.999082,0.41145,3,0.42,0.855
1.0,s1_h2,0.999082,0.449171,3,0.324,0.831
1.0,s2_f1,0.994494,0.828924,3,0.8200000000000001,0.9550000000000001
1.0,s2_f2,0.99633,0.828924,3,0.8200000000000001,0.9550000000000001
