SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h5,f2,1,0.5,0.333333,0.191639,0.5,0.5
h5,f2,1,0.5,0.333333,0.191639,0.5,0.5
h5,f3,1,0.5,0.333333,0.517238,0.5,0.5
f2,f3,1,0.5,0.25,0.657919,0.5,0.5
f2,f3,1,0.5,0.25,0.657919,0.5,0.5
f5,f2,1,0.5,1,0.0994279,0.5,0.5
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f4,f3,1,0.5,1,0.634183,0.5,0.5
f4,h5,1,0.5,0.5,0.793936,0.5,0.5
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
f3,h5,1,0.5,0.333333,0.517238,0.5,0.5
f1,f3,1,0.5,0.333333,0.502559,0.5,0.5
f1,f4,1,0.5,0.333333,0.163344,0.5,0.5
f1,h5,1,0.5,0.333333,0.119574,0.5,0.5
h3,f2,1,0.5,0.5,0.851998,0.5,0.5
h3,f3,1,0.5,0.5,0.805921,0.5,0.5
h3,f4,1,0.5,0.5,0.440104,0.5,0.5
h3,h5,1,0.5,1,0.334537,0.5,0.5
f5,f2,1,0.5,1,0.0994279,0.5,0.4
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f5,f4,1,0.5,0.333333,0.552963,0.5,0.5
f5,h5,1,0.5,0.333333,0.750669,0.5,0.5
h2,f3,2,0.900291,0.5,0.428662,0.5,0.5
f5,f1,2,0.901027,0.666667,0.0983332,0.5,0.5
f5,f3,2,0.900291,0.333333,0.375065,0.5,0.5
h5,f1,2,0.901027,0.333333,0.119574,0.5,0.5
h5,f3,2,0.900291,0.333333,0.517238,0.5,0.5
h5,f1,2,0.901027,0.333333,0.119574,0.5,0.5
h5,f4,2,0.901027,0.333333,0.793936,0.5,0.5
h5,h3,2,0.900475,0.666667,0.334537,0.5,0.5
h5,h4,2,0.900291,0.666667,0.664526,0.5,0.5
f4,f1,2,0.901027,0.5,0.163344,0.5,0.5
f4,h3,2,0.900475,0.5,0.440104,0.5,0.5
f4,h4,2,0.900291,0.5,0.801733,0.5,0.5
h5,h4,2,0.900291,0.666667,0.664526,0.5,0.5
h5,f4,2,0.901027,0.333333,0.793936,0.5,0.5
h5,h3,2,0.900475,0.666667,0.334537,0.5,0.5
h5,f1,2,0.901027,0.333333,0.119574,0.5,0.5
h5,f3,2,0.900291,0.333333,0.517238,0.5,0.62
h5,f3,2,0.900291,0.333333,0.517238,0.5,0.62
h5,f1,2,0.901027,0.333333,0.119574,0.5,0.5
h5,f2,2,0.901027,0.333333,0.191639,0.5,0.5
h5,f4,2,0.901027,0.333333,0.793936,0.5,0.5
h5,h3,2,0.900475,0.666667,0.334537,0.5,0.5
h5,h4,2,0.900291,0.666667,0.664526,0.5,0.7
h3,f2,3,0.94252,0.5,0.851998,0.5,0.7
h3,f3,3,0.941708,0.5,0.805921,0.5,0.5
h3,f5,3,0.941302,0,0.225157,0.5,0.5
h3,f3,3,0.941708,0.5,0.805921,0.5,0.5
h3,f5,3,0.941302,0,0.225157,0.5,0.5
h3,f5,3,0.941302,0,0.225157,0.5,0.5
h4,f5,3,0.941302,0,0.480404,0.5,0.5
h4,h3,3,0.941911,1,0.638371,0.5,0.5
h4,h3,3,0.941911,1,0.638371,0.5,0.5
h4,f5,3,0.941302,0,0.480404,0.5,0.5
h4,f3,3,0.941708,0.5,0.83245,0.5,0.5
h4,h1,3,0.941708,0.5,0.367107,0.5,0.5
f2,f5,3,0.941302,0.75,0.0994279,0.5,0.5
f2,h1,3,0.941708,0.25,0.556362,0.5,0.5
f2,h3,3,0.941911,0.25,0.851998,0.5,0.5
f4,f5,3,0.941302,0.5,0.552963,0.5,0.5
f4,h1,3,0.941708,0.5,0.212492,0.5,0.5
f2,f3,3,0.941708,0.25,0.657919,0.5,0.5
f2,f5,3,0.941302,0.75,0.0994279,0.5,0.5
f2,h1,3,0.941708,0.25,0.556362,0.5,0.5
h1,f4,4,0.966618,0.5,0.212492,0.5,0.5
f2,h1,4,0.965369,0.25,0.556362,0.5,0.5
h4,f2,4,0.966618,0.5,0.490369,0.5,0.5
h4,h1,4,0.965369,0.5,0.367107,0.5,0.5
f4,h1,4,0.965369,0.5,0.212492,0.5,0.5
f4,h2,4,0.965761,0,0.0635079,0.5,0.5
f4,h4,4,0.965761,0.5,0.801733,0.5,0.7
h2,h1,4,0.965369,0.5,0.43937,0.5,0.5
h3,f3,4,0.965761,0.5,0.805921,0.5,0.7
h3,f5,4,0.965701,0,0.225157,0.5,0.5
h3,h2,4,0.965761,0,0.621867,0.5,0.5
f4,h2,4,0.965761,0,0.0635079,0.5,0.5
f4,f3,4,0.965761,1,0.634183,0.5,0.7
f4,f5,4,0.965701,0.5,0.552963,0.5,0.7
f2,f3,4,0.965761,0.25,0.657919,0.5,0.7
f2,f5,4,0.965701,0.75,0.0994279,0.5,0.5
f2,h2,4,0.965761,0.25,0.768221,0.5,0.5
h3,f1,6,0.988717,0.5,0.659381,0.5,0.5
h3,f2,6,0.988741,0.5,0.851998,0.5,0.61
h3,f4,6,0.988741,0.5,0.440104,0.5,0.5
h3,f5,6,0.987417,0,0.225157,0.5,0.5
h3,h4,6,0.987844,1,0.638371,0.5,0.5
h4,f1,6,0.988717,0.5,0.350769,0.5,0.5
h4,f2,6,0.988741,0.5,0.490369,0.5,0.7
h4,f3,6,0.987844,0.5,0.83245,0.5,0.7
h4,f4,6,0.988741,0.5,0.801733,0.5,0.5
h4,f5,6,0.987417,0,0.480404,0.5,0.5
h1,f1,6,0.988717,0,0.750855,0.5,0.5
h1,f2,6,0.988741,0.5,0.556362,0.5,0.5
h1,f3,6,0.987844,0.5,0.4744,0.5,0.5
h1,f4,6,0.988741,0.5,0.212492,0.5,0.7
h1,f5,6,0.987417,0.5,0.269286,0.5,0.5
h1,h4,6,0.987844,0.5,0.367107,0.5,0.5
h1,f4,6,0.988741,0.5,0.212492,0.5,0.7
