Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
1.0,s1_h5,0.995014,0.899137,4,0.892,0.973
1.0,s2_f4,1.0,0.902058,4,0.892,0.973
1.0,s2_h5,0.99948,0.775202,4,0.732,0.933
0.4,s3_f4,0.421802,0.772281,4,0.732,0.48300000000000004
0.6,s3_h5,0.701432,0.901351,4,0.892,0.6729999999999999
1.0,s4_f4,1.0,0.902058,4,0.892,0.973
1.0,s4_h5,0.99948,0.900552,4,0.892,0.973
1.0,s1_f5,0.998624,0.591933,4,0.492,0.873
1.0,s2_f5,0.998624,0.901143,4,0.892,0.973
1.0,s3_f5,0.998624,0.901143,4,0.892,0.973
1.0,s4_f5,0.998624,0.900759,4,0.892,0.973
1.0,s1_f1,1.0,0.943,5,0.9352,0.9838
1.0,s1_f2,1.0,0.280406,5,0.29519999999999996,0.8238
1.0,s1_h1,0.999082,0.870073,5,0.8392,0.9598
1.0,s1_h2,0.999082,0.699052,5,0.6952,0.9238
1.0,s2_f1,1.0,0.870439,5,0.8392,0.9598
1.0,s2_f2,1.0,0.943119,5,0.9352,0.9838
1.0,s2_h1,0.992659,0.936732,5,0.9352,0.9838
1.0,s2_h2,0.998165,0.941045,5,0.9352,0.9838
1.0,s3_f1,0.997247,0.94056,5,0.9352,0.9838
1.0,s3_f2,1.0,0.943119,5,0.9352,0.9838
1.0,s3_h1,0.998165,0.941611,5,0.9352,0.9838
1.0,s3_h2,0.993577,0.937873,5,0.9352,0.9838
1.0,s4_f1,1.0,0.943,5,0.9352,0.9838
1.0,s4_f2,0.997247,0.940679,5,0.9352,0.9838
1.0,s4_h1,0.999082,0.942186,5,0.9352,0.9838
1.0,s4_h2,0.999082,0.942306,5,0.9352,0.9838
1.0,s1_f3,0.999082,0.762727,5,0.7432000000000001,0.9358
1.0,s1_h3,0.998165,0.870068,5,0.8392,0.9598
1.0,s1_h4,0.999082,0.942306,5,0.9352,0.9838
1.0,s2_f3,0.993577,0.937873,5,0.9352,0.9838
1.0,s2_h3,0.995412,0.940069,5,0.9352,0.9838
1.0,s2_h4,0.999082,0.942306,5,0.9352,0.9838
1.0,s3_f3,0.998165,0.941045,5,0.9352,0.9838
1.0,s3_h3,0.999082,0.941289,5,0.9352,0.9838
1.0,s3_h4,0.998165,0.941492,5,0.9352,0.9838
1.0,s4_f3,0.999082,0.942306,5,0.9352,0.9838
1.0,s4_h3,0.999082,0.941289,5,0.9352,0.9838
1.0,s4_h4,0.993577,0.937426,5,0.9352,0.9838
1.0,s1_f4,1.0,0.943119,5,0.9352,0.9838
