SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f1,h3,8,0.992103,0.333333,0.659381,0.5,0.5
f1,h4,8,0.996162,0.333333,0.350769,0.5,0.5
f1,h3,8,0.992103,0.333333,0.659381,0.5,0.5
f1,h4,8,0.996162,0.333333,0.350769,0.5,0.5
f1,f4,8,0.996202,0.333333,0.163344,0.5,0.5
f1,f3,8,0.989191,0.333333,0.502559,0.5325,0.4
f3,f4,8,0.996202,0.666667,0.634183,0.5,0.5
f3,h4,8,0.996162,0.333333,0.83245,0.5,0.5
f4,f3,8,0.989191,1,0.634183,0.5325,0.38
f4,h4,8,0.996162,0.5,0.801733,0.5,0.5
f4,f3,8,0.989191,1,0.634183,0.5325,0.38
h4,f1,9,0.996754,0.5,0.350769,0.5,0.5
h4,f3,9,0.990645,0.5,0.83245,0.5325,0.5
h4,h2,9,0.997668,0,0.261497,0.5,0.5
f4,f1,9,0.996754,0.5,0.163344,0.5,0.5
f4,h2,9,0.997668,0,0.0635079,0.5,0.5
h5,f4,9,0.997794,0.333333,0.793936,0.5,0.5
h5,f5,9,0.996475,0.333333,0.750669,0.5,0.38
h5,h2,9,0.997668,0.666667,0,0.5,0.55
f1,f5,9,0.996475,0.666667,0.0983332,0.5,0.7
f1,h2,9,0.997668,0.333333,0.685799,0.5,0.46
f2,f3,9,0.990645,0.25,0.657919,0.5325,0.5
f2,f5,9,0.996475,0.75,0.0994279,0.5,0.5
f2,h2,9,0.997668,0.25,0.768221,0.5,0.5
f2,h3,9,0.994287,0.25,0.851998,0.5,0.66
h3,f3,9,0.990645,0.5,0.805921,0.5325,0.85
h3,f5,9,0.996475,0,0.225157,0.5,0.5
h3,h2,9,0.997668,0,0.621867,0.5,0.5
h3,f2,10,0.998671,0.5,0.851998,0.595,0.7
f4,f3,10,0.993109,1,0.634183,0.5325,0.53
f3,f4,10,0.997247,0.666667,0.634183,0.5,0.7
f4,f3,10,0.993109,1,0.634183,0.5325,0.53
h3,f4,10,0.997247,0.5,0.440104,0.5,0.5
h3,h1,10,0.998709,0.5,0.550043,0.5,0.5
f2,h2,11,0.999213,0.25,0.768221,0.5,0.5
h5,f1,11,0.997316,0.333333,0.119574,0.5,0.5
f3,f1,11,0.997316,0.333333,0.502559,0.5,0.433333
f3,h2,11,0.999213,0.333333,0.428662,0.5,0.54
f2,f1,11,0.997316,0.5,0.742268,0.5,0.5
f2,f4,11,0.999104,0.25,0.292101,0.5,0.5
f4,f2,11,0.999228,0.5,0.292101,0.595,0.9
h3,f1,12,0.997907,0.5,0.659381,0.5,0.5
h3,h2,12,0.999543,0,0.621867,0.5,0.5
f5,f4,12,0.99948,0.333333,0.552963,0.5,0.5
h1,f4,12,0.99948,0.5,0.212492,0.5,0.5
h1,f5,12,0.998439,0.5,0.269286,0.5,0.34
h3,f2,13,0.99974,0.5,0.851998,0.595,0.75
h1,f1,13,0.999417,0,0.750855,0.5,0.5
h1,f2,13,0.99974,0.5,0.556362,0.595,0.768
h1,f5,13,0.999445,0.5,0.269286,0.5,0.34
f3,f1,13,0.999417,0.333333,0.502559,0.5,0.433333
f3,f5,13,0.999445,0.333333,0.375065,0.5,0.7
f3,h1,13,0.999747,0.333333,0.4744,0.5,0.5
h5,f1,13,0.999417,0.333333,0.119574,0.5,0.5
h5,h1,13,0.999747,0.333333,0.228055,0.5,0.5
h4,f1,13,0.999417,0.5,0.350769,0.5,0.5
h4,f3,13,0.999264,0.5,0.83245,0.5325,0.62
h4,f4,13,0.999551,0.5,0.801733,0.5,0.5
h4,h1,13,0.999747,0.5,0.367107,0.5,0.7
h4,h3,13,0.999536,1,0.638371,0.5,0.5
h1,f1,13,0.999417,0,0.750855,0.5,0.5
h1,f3,13,0.999264,0.5,0.4744,0.5325,0.34
h1,f4,13,0.999551,0.5,0.212492,0.5,0.38
h1,h3,13,0.999536,0.5,0.550043,0.5,0.5
f4,f1,13,0.999417,0.5,0.163344,0.5,0.46
f4,f3,13,0.999264,1,0.634183,0.5325,0.775
h5,f1,14,0.999661,0.333333,0.119574,0.5,0.5
h5,f2,14,0.999849,0.333333,0.191639,0.595,0.5
h5,f5,14,0.998942,0.333333,0.750669,0.5,0.38
h5,f2,14,0.999849,0.333333,0.191639,0.595,0.5
h5,f5,14,0.998942,0.333333,0.750669,0.5,0.38
h5,f1,14,0.999661,0.333333,0.119574,0.5,0.5
h4,f1,14,0.999661,0.5,0.350769,0.5,0.5
h4,f2,14,0.999849,0.5,0.490369,0.595,0.5
h4,f3,14,0.999573,0.5,0.83245,0.5325,0.62
h4,f5,14,0.998942,0,0.480404,0.5,0.5
f4,f2,14,0.999849,0.5,0.292101,0.595,0.925
f4,f3,14,0.999573,1,0.634183,0.5325,0.58
f4,f5,14,0.998942,0.5,0.552963,0.5,0.5
h1,f3,14,0.999573,0.5,0.4744,0.5325,0.34
h1,f5,14,0.998942,0.5,0.269286,0.5,0.34
f2,f1,14,0.999661,0.5,0.742268,0.5,0.7
f2,f3,14,0.999573,0.25,0.657919,0.5325,0.5
f2,f5,14,0.998942,0.75,0.0994279,0.5,0.5
h3,f1,14,0.999661,0.5,0.659381,0.5,0.5
h3,f5,14,0.998942,0,0.225157,0.5,0.5
f4,f5,14,0.998942,0.5,0.552963,0.5,0.5
f4,h1,14,0.999853,0.5,0.212492,0.5,0.7
h5,f2,15,0.999912,0.333333,0.191639,0.620857,0.85
h5,f3,15,0.999235,0.333333,0.517238,0.5325,0.85
h5,f3,15,0.999235,0.333333,0.517238,0.5325,0.85
f1,f2,15,0.999912,0.666667,0.742268,0.620857,0.7
f1,h1,15,0.999915,0,0.750855,0.5,0.5
f2,h1,15,0.999915,0.25,0.556362,0.5,0.433333
h4,f2,15,0.999912,0.5,0.490369,0.620857,0.5
h4,h1,15,0.999915,0.5,0.367107,0.5,0.85
f3,f2,15,0.999912,0.333333,0.657919,0.620857,0.5
f3,h1,15,0.999915,0.333333,0.4744,0.5,0.5
f2,h1,15,0.999915,0.25,0.556362,0.5,0.433333
f2,f1,15,0.999635,0.5,0.742268,0.5,0.7
f2,h4,15,0.999914,0.25,0.490369,0.5,0.5
h2,f2,16,0.999949,0.5,0.768221,0.620857,0.5
h2,f5,16,0.99044,0.5,0,0.5,0.5
h1,f5,16,0.99044,0.5,0.269286,0.5,0.34
h1,h4,16,0.99995,0.5,0.367107,0.5,0.34
h3,f1,16,0.999788,0.5,0.659381,0.5,0.7
h3,f5,16,0.99044,0,0.225157,0.5,0.5
h3,h4,16,0.99995,1,0.638371,0.5,0.54
f2,f1,16,0.999788,0.5,0.742268,0.5,0.85
f2,f3,16,0.999556,0.25,0.657919,0.565381,0.7
f2,f5,16,0.99044,0.75,0.0994279,0.5,0.5
f2,h4,16,0.99995,0.25,0.490369,0.5,0.5
f2,f1,16,0.999788,0.5,0.742268,0.5,0.85
f2,f3,16,0.999556,0.25,0.657919,0.565381,0.7
f2,f5,16,0.99044,0.75,0.0994279,0.5,0.5
f2,h4,16,0.99995,0.25,0.490369,0.5,0.5
f1,f3,16,0.999556,0.333333,0.502559,0.565381,0.4
f1,f5,16,0.99044,0.666667,0.0983332,0.5,0.85
f1,h4,16,0.99995,0.333333,0.350769,0.5,0.5
f3,h4,16,0.99995,0.333333,0.83245,0.5,0.5
h5,f3,16,0.999556,0.333333,0.517238,0.565381,0.6
h3,f2,16,0.999949,0.5,0.851998,0.620857,0.75
h3,f3,16,0.999556,0.5,0.805921,0.565381,0.620833
f3,f2,16,0.999949,0.333333,0.657919,0.620857,0.7
f4,h2,17,0.99997,0,0.0635079,0.5,0.5
h3,h2,17,0.99997,0,0.621867,0.5,0.7
f2,f3,17,0.999742,0.25,0.657919,0.565381,0.7
h2,f3,17,0.999742,0.5,0.428662,0.565381,0.5
f2,f3,17,0.999742,0.25,0.657919,0.565381,0.85
f2,f5,17,0.994063,0.75,0.0994279,0.591667,0.5
f2,h4,17,0.999971,0.25,0.490369,0.5,0.5
h5,f2,17,0.99997,0.333333,0.191639,0.620857,0.9
h5,f3,17,0.999742,0.333333,0.517238,0.565381,0.8125
h5,h3,17,0.994721,0.666667,0.334537,0.56,0.46
h5,h4,17,0.999971,0.666667,0.664526,0.5,0.5
f5,f2,17,0.99997,1,0.0994279,0.620857,0.5
f5,f3,17,0.999742,0.333333,0.375065,0.565381,0.5
f5,h3,17,0.994721,0,0.225157,0.56,0.5
f5,h4,17,0.999971,0,0.480404,0.5,0.5
f4,h2,18,0.999982,0,0.0635079,0.540476,0.5
h1,h2,18,0.999982,0.5,0.43937,0.540476,0.5
f3,f2,18,0.999983,0.333333,0.657919,0.646451,0.85
f4,f3,18,0.998288,1,0.634183,0.565381,0.58
f4,h3,18,0.996934,0.5,0.440104,0.56,0.5
f3,f1,18,0.999929,0.333333,0.502559,0.560741,0.433333
f3,f2,18,0.999983,0.333333,0.657919,0.646451,0.9
f3,h3,18,0.996934,0.333333,0.805921,0.56,0.7
h5,f4,20,0.998481,0.333333,0.793936,0.5,0.7
h5,h4,20,0.999994,0.666667,0.664526,0.5,0.5
f1,f4,20,0.998481,0.333333,0.163344,0.5,0.5
f1,h4,20,0.999994,0.333333,0.350769,0.5,0.5
f1,h4,20,0.999994,0.333333,0.350769,0.5,0.5
f1,f4,20,0.998481,0.333333,0.163344,0.5,0.5
h2,f4,20,0.998481,0,0.0635079,0.5,0.5
h2,h4,20,0.999994,0,0.261497,0.5,0.5
h5,f4,20,0.998481,0.333333,0.793936,0.5,0.7
h5,h4,20,0.999994,0.666667,0.664526,0.5,0.5
h5,f2,20,0.999994,0.333333,0.191639,0.646451,0.925
h5,h1,20,0.999994,0.333333,0.228055,0.5,0.7
h3,f2,20,0.999994,0.5,0.851998,0.646451,0.716667
h3,f4,20,0.998481,0.5,0.440104,0.5,0.5
h3,h4,20,0.999994,1,0.638371,0.5,0.54
f5,f4,21,0.999406,0.333333,0.552963,0.5,0.7
f2,f4,21,0.999406,0.25,0.292101,0.5,0.5
f3,f2,21,0.999811,0.333333,0.657919,0.646451,0.925
h3,f2,21,0.999811,0.5,0.851998,0.646451,0.716667
h3,f5,21,0.992527,0,0.225157,0.591667,0.5
f2,f5,21,0.992527,0.75,0.0994279,0.591667,0.7
f3,f5,21,0.992527,0.333333,0.375065,0.591667,0.85
f4,f1,22,0.999992,0.5,0.163344,0.560741,0.46
f4,f3,22,0.999805,1,0.634183,0.565381,0.71
