SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f4,f1,1,0.5,0.5,0.163344,0.5,0.5
f4,f2,1,0.5,0.5,0.292101,0.5,0.5
h3,f1,1,0.5,0.5,0.659381,0.5,0.5
h3,f2,1,0.5,0.5,0.851998,0.5,0.5
h1,f1,1,0.5,0,0.750855,0.5,0.5
h1,f2,1,0.5,0.5,0.556362,0.5,0.5
f4,f2,1,0.5,0.5,0.292101,0.5,0.5
f4,f1,1,0.5,0.5,0.163344,0.5,0.5
f4,f2,1,0.5,0.5,0.292101,0.5,0.5
f4,f1,1,0.5,0.5,0.163344,0.5,0.5
f3,f1,1,0.5,0.333333,0.502559,0.5,0.5
f3,f2,1,0.5,0.333333,0.657919,0.5,0.5
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
f1,f2,1,0.5,0.666667,0.742268,0.5,0.5
f4,f1,1,0.5,0.5,0.163344,0.5,0.5
h1,f2,2,0.900291,0.5,0.556362,0.5,0.7
h1,f3,2,0.899923,0.5,0.4744,0.5,0.5
h1,f4,2,0.899923,0.5,0.212492,0.5,0.5
h1,f5,2,0.901027,0.5,0.269286,0.5,0.5
h1,h2,2,0.900291,0.5,0.43937,0.5,0.5
f2,f1,3,0.941708,0.5,0.742268,0.5,0.5
f2,f3,3,0.941302,0.25,0.657919,0.5,0.5
f2,f4,3,0.941302,0.25,0.292101,0.5,0.5
f2,h3,3,0.940819,0.25,0.851998,0.5,0.5
h1,f5,4,0.966618,0.5,0.269286,0.5,0.5
h5,f4,4,0.966437,0.333333,0.793936,0.5,0.5
h5,f5,4,0.966618,0.333333,0.750669,0.5,0.5
f3,f5,4,0.966618,0.333333,0.375065,0.5,0.5
f3,f1,4,0.965761,0.333333,0.502559,0.5,0.5
f3,f4,4,0.966437,0.666667,0.634183,0.5,0.7
f3,h3,4,0.963573,0.333333,0.805921,0.5,0.5
f4,f1,4,0.965761,0.5,0.163344,0.5,0.5
f4,f3,4,0.965333,1,0.634183,0.5,0.5
f4,h3,4,0.963573,0.5,0.440104,0.5,0.5
h5,h2,5,0.979731,0.666667,0,0.5,0.5
