Label,NodeID,Recente,Ancienne,periode,label_experience
0.2,s1_f1,0.0,0.5,2,0.3
0.0,s1_f2,0.995412,0.5,2,0.7
1.0,s1_h1,0.0,0.5,2,0.3
0.6,s1_h2,0.481032,0.5,2,0.38
1.0,s2_f1,0.99633,0.5,2,0.7
1.0,s2_f2,0.99633,0.5,2,0.7
1.0,s2_h1,0.995412,0.5,2,0.7
1.0,s2_h2,0.997935,0.5,2,0.7
1.0,s3_f1,0.999082,0.5,2,0.7
1.0,s3_f2,0.261524,0.5,2,0.3
0.0,s3_h1,0.999082,0.5,2,0.7
1.0,s3_h2,0.997935,0.5,2,0.7
1.0,s4_f1,0.995412,0.5,2,0.7
1.0,s4_f2,0.999082,0.5,2,0.7
1.0,s4_h1,0.99633,0.5,2,0.7
1.0,s4_h2,0.999312,0.5,2,0.7
1.0,s1_f3,0.700637,0.5,2,0.54
0.0,s1_h3,0.997935,0.5,2,0.7
1.0,s1_h4,0.999082,0.5,2,0.7
1.0,s2_f3,0.992659,0.5,2,0.7
1.0,s2_h3,0.996559,0.5,2,0.7
1.0,s2_h4,0.998165,0.5,2,0.7
1.0,s3_f3,0.999082,0.5,2,0.7
1.0,s3_h3,0.995183,0.5,2,0.7
1.0,s3_h4,0.999082,0.5,2,0.7
1.0,s4_f3,0.999082,0.5,2,0.7
1.0,s4_h3,0.481032,0.5,2,0.38
1.0,s4_h4,0.489957,0.5,2,0.54
0.0,s1_f4,0.702472,0.5,2,0.54
0.6,s1_h5,0.0,0.5,2,0.3
1.0,s2_f4,0.994494,0.5,2,0.7
1.0,s2_h5,1.0,0.5,2,0.7
1.0,s3_f4,1.0,0.5,2,0.7
1.0,s3_h5,1.0,0.5,2,0.7
1.0,s4_f4,1.0,0.5,2,0.7
1.0,s4_h5,0.997247,0.5,2,0.7
1.0,s1_f5,0.367848,0.5,2,0.38
1.0,s2_f5,0.99633,0.5,2,0.7
0.0,s3_f5,0.999082,0.5,2,0.7
1.0,s4_f5,0.995412,0.5,2,0.7
0.2,s1_f1,0.261524,0.290382,3,0.26
0.0,s1_f2,0.0,0.707694,3,0.42
0.0,s1_h1,0.998899,0.290382,3,0.5800000000000001
0.0,s1_h2,0.699031,0.492048,3,0.46799999999999997
1.0,s2_f1,0.99633,0.708079,3,0.8200000000000001
1.0,s2_f2,0.997247,0.708079,3,0.8200000000000001
1.0,s2_h1,0.997798,0.707694,3,0.8200000000000001
1.0,s2_h2,0.997935,0.708752,3,0.8200000000000001
1.0,s3_f1,0.999082,0.709233,3,0.8200000000000001
1.0,s3_f2,1.0,0.400022,3,0.5800000000000001
1.0,s3_h1,0.261524,0.709233,3,0.42
1.0,s3_h2,0.997935,0.708752,3,0.8200000000000001
1.0,s4_f1,0.995412,0.707694,3,0.8200000000000001
1.0,s4_f2,1.0,0.709233,3,0.8200000000000001
1.0,s4_h1,0.998899,0.708079,3,0.8200000000000001
1.0,s4_h2,0.999312,0.709329,3,0.8200000000000001
1.0,s1_f3,0.998165,0.584114,3,0.724
1.0,s1_h3,0.261524,0.708752,3,0.42
1.0,s1_h4,0.998624,0.709233,3,0.8200000000000001
1.0,s2_f3,0.992659,0.70654,3,0.8200000000000001
1.0,s2_h3,0.997247,0.708175,3,0.8200000000000001
1.0,s2_h4,0.998624,0.708849,3,0.8200000000000001
0.0,s3_f3,0.999082,0.709233,3,0.8200000000000001
0.0,s3_h3,0.994494,0.707598,3,0.8200000000000001
1.0,s3_h4,0.998624,0.709233,3,0.8200000000000001
1.0,s4_f3,0.999082,0.709233,3,0.8200000000000001
1.0,s4_h3,0.997247,0.492048,3,0.628
1.0,s4_h4,0.998624,0.49579,3,0.724
0.2,s1_f4,0.0,0.584884,3,0.324
0.0,s1_h5,0.699719,0.290382,3,0.42
1.0,s2_f4,0.994494,0.70731,3,0.8200000000000001
1.0,s2_h5,1.0,0.709618,3,0.8200000000000001
1.0,s3_f4,1.0,0.709618,3,0.8200000000000001
1.0,s3_h5,1.0,0.709618,3,0.8200000000000001
1.0,s4_f4,1.0,0.709618,3,0.8200000000000001
1.0,s4_h5,0.997247,0.708464,3,0.8200000000000001
0.0,s1_f5,0.997247,0.444597,3,0.628
1.0,s2_f5,0.997247,0.708079,3,0.8200000000000001
1.0,s3_f5,0.261524,0.709233,3,0.42
1.0,s4_f5,0.994494,0.707694,3,0.8200000000000001
0.0,s1_f1,0.261524,0.278284,4,0.23600000000000002
1.0,s1_f2,0.0,0.411004,4,0.252
1.0,s1_h1,0.0,0.587418,4,0.34800000000000003
0.4,s1_h2,0.0,0.578823,4,0.2808
1.0,s2_f1,0.99633,0.828924,4,0.892
1.0,s2_f2,0.997247,0.829309,4,0.892
1.0,s2_h1,1.0,0.829316,4,0.892
1.0,s2_h2,1.0,0.829988,4,0.892
1.0,s3_f1,0.999082,0.830748,4,0.892
0.0,s3_f2,1.0,0.651555,4,0.748
0.2,s3_h1,1.0,0.521538,4,0.652
1.0,s3_h2,1.0,0.829988,4,0.892
1.0,s4_f1,0.995412,0.828316,4,0.892
1.0,s4_f2,1.0,0.831133,4,0.892
1.0,s4_h1,1.0,0.830001,4,0.892
1.0,s4_h2,0.997247,0.8309,4,0.892
1.0,s1_f3,0.999082,0.757699,4,0.8344
1.0,s1_h3,0.99633,0.521258,4,0.652
0.6,s1_h4,0.998624,0.830556,4,0.892
1.0,s2_f3,0.995412,0.826492,4,0.892
1.0,s2_h3,0.998165,0.829365,4,0.892
1.0,s2_h4,0.998624,0.830333,4,0.892
1.0,s3_f3,0.261524,0.830748,4,0.492
1.0,s3_h3,0.261524,0.827875,4,0.492
1.0,s3_h4,0.998624,0.830556,4,0.892
0.0,s4_f3,0.99633,0.830748,4,0.892
0.0,s4_h3,0.998165,0.703846,4,0.7767999999999999
1.0,s4_h4,0.998624,0.706596,4,0.8344
0.0,s1_f4,0.484473,0.339679,4,0.2744
